Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Admin_Tools,Chrome 70.0.3538.110,,2018-11-30 16:50:59,2018-11-30 16:56:26,5m - 26.799s,FAILED
,,,,,,
Test Cases/AdminTools/InternalUser,Chrome 70.0.3538.110,,2018-11-30 16:51:00,2018-11-30 16:52:17,1m - 17.133s,PASSED
"sc.sc_customkeywords.UniqueName(""UserName"")",Chrome 70.0.3538.110,,2018-11-30 16:51:01,2018-11-30 16:51:02,1.323s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-11-30 16:51:02,2018-11-30 16:51:07,4.589s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-11-30 16:51:07,2018-11-30 16:51:08,1.148s,PASSED
navigateToUrl(URL),Chrome 70.0.3538.110,,2018-11-30 16:51:08,2018-11-30 16:51:34,25.825s,PASSED
Thread.sleep(5000),Chrome 70.0.3538.110,,2018-11-30 16:51:34,2018-11-30 16:51:39,5.014s,PASSED
"setText(findTestObject(""CommonObjects/Login_UserName""), UserName)",Chrome 70.0.3538.110,,2018-11-30 16:51:39,2018-11-30 16:51:39,0.290s,PASSED
"setText(findTestObject(""CommonObjects/Login_Password""), Password)",Chrome 70.0.3538.110,,2018-11-30 16:51:39,2018-11-30 16:51:39,0.246s,PASSED
"click(findTestObject(""CommonObjects/Login_LoginButton""))",Chrome 70.0.3538.110,,2018-11-30 16:51:39,2018-11-30 16:51:41,1.660s,PASSED
"click(findTestObject(""CommonObjects/MainMenu_Icon""))",Chrome 70.0.3538.110,,2018-11-30 16:51:41,2018-11-30 16:51:46,5.180s,PASSED
"click(findTestObject(""CommonObjects/MainMenu_AdminTools""))",Chrome 70.0.3538.110,,2018-11-30 16:51:46,2018-11-30 16:51:46,0.119s,PASSED
"click(findTestObject(""InternalUser/MainMenu_Users""))",Chrome 70.0.3538.110,,2018-11-30 16:51:46,2018-11-30 16:51:46,0.303s,PASSED
"click(findTestObject(""InternalUser/ManageUsers_AddNewButton""))",Chrome 70.0.3538.110,,2018-11-30 16:51:46,2018-11-30 16:51:50,3.251s,PASSED
"setText(findTestObject(""InternalUser/ManageUser_NewUserPopUp_Username""), findTestData(""TestData"").getValue(""UserName"", 1))",Chrome 70.0.3538.110,,2018-11-30 16:51:50,2018-11-30 16:51:52,2.713s,PASSED
"setText(findTestObject(""InternalUser/ManageUsers_NewUserPopUp_Password""), ""Test"")",Chrome 70.0.3538.110,,2018-11-30 16:51:52,2018-11-30 16:51:53,0.192s,PASSED
