Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Audit_Form,Chrome 70.0.3538.110,,2018-11-30 16:54:15,2018-11-30 17:02:07,7m - 51.619s,FAILED
,,,,,,
Test Cases/Forms/AuditForm/1_CreateForm,Chrome 70.0.3538.110,,2018-11-30 16:54:16,2018-11-30 16:57:45,3m - 28.759s,FAILED
openBrowser(URL),Chrome 70.0.3538.110,,2018-11-30 16:54:17,2018-11-30 16:54:40,23.247s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-11-30 16:54:40,2018-11-30 16:54:41,1.279s,PASSED
"setText(findTestObject(""Form_Selection_Creation/login_Username""), UserName)",Chrome 70.0.3538.110,,2018-11-30 16:54:41,2018-11-30 16:54:44,2.562s,PASSED
"setText(findTestObject(""Form_Selection_Creation/login_Password""), Password)",Chrome 70.0.3538.110,,2018-11-30 16:54:44,2018-11-30 16:54:44,0.207s,PASSED
FormName.setData(),Chrome 70.0.3538.110,,2018-11-30 16:54:44,2018-11-30 16:54:45,1.255s,PASSED
"click(findTestObject(""Form_Selection_Creation/login_Button""))",Chrome 70.0.3538.110,,2018-11-30 16:54:45,2018-11-30 16:54:48,2.731s,PASSED
Thread.sleep(3000),Chrome 70.0.3538.110,,2018-11-30 16:54:48,2018-11-30 16:54:51,3.008s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_Button""))",Chrome 70.0.3538.110,,2018-11-30 16:54:51,2018-11-30 16:54:53,2.176s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_AdminTools""))",Chrome 70.0.3538.110,,2018-11-30 16:54:53,2018-11-30 16:54:53,0.088s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_AdminTools_FormDesigner""))",Chrome 70.0.3538.110,,2018-11-30 16:54:53,2018-11-30 16:54:54,0.387s,PASSED
Thread.sleep(2000),Chrome 70.0.3538.110,,2018-11-30 16:54:54,2018-11-30 16:54:56,2.002s,PASSED
"click(findTestObject(""Form_Selection_Creation/selectAuditForm""))",Chrome 70.0.3538.110,,2018-11-30 16:54:56,2018-11-30 16:54:56,0.148s,PASSED
Thread.sleep(3000),Chrome 70.0.3538.110,,2018-11-30 16:54:56,2018-11-30 16:54:59,3.000s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_selectResource""), findTestObject(""Form_Selection_Creation/Target_Res_Object""))",Chrome 70.0.3538.110,,2018-11-30 16:54:59,2018-11-30 16:57:45,2m - 45.821s,FAILED
,,,,,,
Test Cases/Forms/AuditForm/2_FormSubmission,Chrome 70.0.3538.110,,2018-11-30 16:57:45,2018-11-30 17:02:06,4m - 21.410s,FAILED
openBrowser(URL),Chrome 70.0.3538.110,,2018-11-30 16:57:45,2018-11-30 16:58:18,33.422s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-11-30 16:58:18,2018-11-30 16:58:20,1.799s,PASSED
