Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CheckAllResources,Chrome 71.0.3578.98,,2019-01-29 18:37:38,2019-01-29 18:52:34,14m - 55.416s,PASSED
,,,,,,
Test Cases/CheckResoucesAsPerLocation/checkLocation,Chrome 71.0.3578.98,,2019-01-29 18:37:39,2019-01-29 18:39:06,1m - 27.327s,PASSED
openBrowser(URL),Chrome 71.0.3578.98,,2019-01-29 18:37:39,2019-01-29 18:37:58,18.568s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-29 18:37:58,2019-01-29 18:37:59,1.214s,PASSED
"setText(findTestObject(""TestUserLocation/login_Username""), UserName)",Chrome 71.0.3578.98,,2019-01-29 18:37:59,2019-01-29 18:38:03,3.753s,PASSED
"setText(findTestObject(""TestUserLocation/login_Password""), Password)",Chrome 71.0.3578.98,,2019-01-29 18:38:03,2019-01-29 18:38:03,0.156s,PASSED
AdminTool_Location.setLocationName(),Chrome 71.0.3578.98,,2019-01-29 18:38:03,2019-01-29 18:38:09,5.589s,PASSED
"click(findTestObject(""TestUserLocation/login_Button""))",Chrome 71.0.3578.98,,2019-01-29 18:38:09,2019-01-29 18:38:10,1.520s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-29 18:38:10,2019-01-29 18:38:14,4.001s,PASSED
AdminTool_Location.setLocationNameInLocation(),Chrome 71.0.3578.98,,2019-01-29 18:38:14,2019-01-29 18:38:18,4.110s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 71.0.3578.98,,2019-01-29 18:38:18,2019-01-29 18:38:18,0.090s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-29 18:38:18,2019-01-29 18:38:20,2.000s,PASSED
"click(findTestObject(""TestUserLocation/adminTool""))",Chrome 71.0.3578.98,,2019-01-29 18:38:20,2019-01-29 18:38:20,0.098s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-29 18:38:20,2019-01-29 18:38:22,2.000s,PASSED
"click(findTestObject(""TestUserLocation/mainMenuResourceDesigner""))",Chrome 71.0.3578.98,,2019-01-29 18:38:22,2019-01-29 18:38:23,0.237s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-29 18:38:23,2019-01-29 18:38:27,4.001s,PASSED
"click(findTestObject(""TestUserLocation/locations""))",Chrome 71.0.3578.98,,2019-01-29 18:38:27,2019-01-29 18:38:27,0.100s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-29 18:38:27,2019-01-29 18:38:31,4.001s,PASSED
refresh(),Chrome 71.0.3578.98,,2019-01-29 18:38:31,2019-01-29 18:38:31,0.003s,NOT_RUN
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-29 18:38:31,2019-01-29 18:38:31,0.002s,NOT_RUN
"click(findTestObject(""TestUserLocation/categories""))",Chrome 71.0.3578.98,,2019-01-29 18:38:31,2019-01-29 18:38:31,0.135s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-29 18:38:31,2019-01-29 18:38:33,2.001s,PASSED
"click(findTestObject(""TestUserLocation/defaultArea""))",Chrome 71.0.3578.98,,2019-01-29 18:38:33,2019-01-29 18:38:33,0.121s,PASSED
"click(findTestObject(""TestUserLocation/hoverHeading""))",Chrome 71.0.3578.98,,2019-01-29 18:38:33,2019-01-29 18:38:33,0.112s,PASSED
"click(findTestObject(""TestUserLocation/addPlusIcon""))",Chrome 71.0.3578.98,,2019-01-29 18:38:33,2019-01-29 18:38:33,0.130s,PASSED
"setText(findTestObject(""TestUserLocation/setNewName""), findTestData(""LocationData"").getValue(""LocationName"", 1))",Chrome 71.0.3578.98,,2019-01-29 18:38:33,2019-01-29 18:38:34,0.565s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-29 18:38:34,2019-01-29 18:38:36,2.002s,PASSED
"click(findTestObject(""TestUserLocation/saveButton""))",Chrome 71.0.3578.98,,2019-01-29 18:38:36,2019-01-29 18:38:36,0.135s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-29 18:38:36,2019-01-29 18:38:40,4.001s,PASSED
AdminTool_Location.moveCursor(),Chrome 71.0.3578.98,,2019-01-29 18:38:40,2019-01-29 18:38:40,0.018s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-29 18:38:40,2019-01-29 18:38:42,2.001s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 71.0.3578.98,,2019-01-29 18:38:42,2019-01-29 18:38:42,0.110s,PASSED
"click(findTestObject(""TestUserLocation/mainMenuLocation""))",Chrome 71.0.3578.98,,2019-01-29 18:38:42,2019-01-29 18:38:42,0.164s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-29 18:38:42,2019-01-29 18:38:46,4.002s,PASSED
AdminTool_Location.selectLocation(),Chrome 71.0.3578.98,,2019-01-29 18:38:46,2019-01-29 18:38:50,4.231s,PASSED
"click(findTestObject(""TestUserLocation/addPlusIcon""))",Chrome 71.0.3578.98,,2019-01-29 18:38:50,2019-01-29 18:38:51,0.171s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-29 18:38:51,2019-01-29 18:38:53,2.000s,PASSED
