Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Check_Form,Chrome 71.0.3578.80,,2018-12-12 19:26:32,2018-12-12 19:31:24,4m - 52.482s,FAILED
,,,,,,
Test Cases/Forms/CheckForm/1_CreateForm,Chrome 71.0.3578.80,,2018-12-12 19:26:32,2018-12-12 19:28:44,2m - 12.276s,PASSED
openBrowser(URL),Chrome 71.0.3578.80,,2018-12-12 19:26:33,2018-12-12 19:27:05,31.973s,PASSED
maximizeWindow(),Chrome 71.0.3578.80,,2018-12-12 19:27:05,2018-12-12 19:27:06,1.163s,PASSED
"setText(findTestObject(""Form_Selection_Creation/login_Username""), UserName)",Chrome 71.0.3578.80,,2018-12-12 19:27:06,2018-12-12 19:27:09,2.830s,PASSED
"setText(findTestObject(""Form_Selection_Creation/login_Password""), Password)",Chrome 71.0.3578.80,,2018-12-12 19:27:09,2018-12-12 19:27:09,0.199s,PASSED
FormName.setData(),Chrome 71.0.3578.80,,2018-12-12 19:27:09,2018-12-12 19:27:10,1.355s,PASSED
"click(findTestObject(""Form_Selection_Creation/login_Button""))",Chrome 71.0.3578.80,,2018-12-12 19:27:10,2018-12-12 19:27:15,4.728s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.80,,2018-12-12 19:27:15,2018-12-12 19:27:18,3.007s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_Button""))",Chrome 71.0.3578.80,,2018-12-12 19:27:18,2018-12-12 19:27:21,2.819s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_AdminTools""))",Chrome 71.0.3578.80,,2018-12-12 19:27:21,2018-12-12 19:27:21,0.090s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_AdminTools_FormDesigner""))",Chrome 71.0.3578.80,,2018-12-12 19:27:21,2018-12-12 19:27:21,0.142s,PASSED
"click(findTestObject(""Form_Selection_Creation/selectCheckForm""))",Chrome 71.0.3578.80,,2018-12-12 19:27:21,2018-12-12 19:27:22,0.637s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.80,,2018-12-12 19:27:22,2018-12-12 19:27:25,3.003s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_selectResource""), findTestObject(""Form_Selection_Creation/Target_Res_Object""))",Chrome 71.0.3578.80,,2018-12-12 19:27:25,2018-12-12 19:27:25,0.786s,PASSED
Thread.sleep(6000),Chrome 71.0.3578.80,,2018-12-12 19:27:25,2018-12-12 19:27:31,6.002s,PASSED
"click(findTestObject(""Form_Selection_Creation/formCreation_NextToDesignForm""))",Chrome 71.0.3578.80,,2018-12-12 19:27:31,2018-12-12 19:27:32,0.106s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.80,,2018-12-12 19:27:32,2018-12-12 19:27:36,4.002s,PASSED
"FormName.createForm(findTestObject(""Form_Selection_Creation/formDesign_FormName""))",Chrome 71.0.3578.80,,2018-12-12 19:27:36,2018-12-12 19:27:36,0.413s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 19:27:36,2018-12-12 19:27:38,2.001s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectSection""), findTestObject(""Form_Selection_Creation/default_area""))",Chrome 71.0.3578.80,,2018-12-12 19:27:38,2018-12-12 19:27:39,0.825s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_SectionName""), ""This is a Section"")",Chrome 71.0.3578.80,,2018-12-12 19:27:39,2018-12-12 19:27:39,0.309s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 19:27:39,2018-12-12 19:27:41,2.001s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectFieldgroup""), findTestObject(""Form_Selection_Creation/section_area""))",Chrome 71.0.3578.80,,2018-12-12 19:27:41,2018-12-12 19:27:42,0.868s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_FieldGroupName""), ""This is Field Group"")",Chrome 71.0.3578.80,,2018-12-12 19:27:42,2018-12-12 19:27:42,0.296s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 19:27:42,2018-12-12 19:27:44,2.002s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectFree Text""), findTestObject(""Form_Selection_Creation/group_area""))",Chrome 71.0.3578.80,,2018-12-12 19:27:44,2018-12-12 19:27:45,0.764s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_FreetextName""), ""This is Free Text"")",Chrome 71.0.3578.80,,2018-12-12 19:27:45,2018-12-12 19:27:46,0.500s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 19:27:46,2018-12-12 19:27:48,2.000s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectParagraphText""), findTestObject(""Form_Selection_Creation/group_area""))",Chrome 71.0.3578.80,,2018-12-12 19:27:48,2018-12-12 19:27:48,0.839s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_ParagraphName""), ""This is Paragraph"")",Chrome 71.0.3578.80,,2018-12-12 19:27:48,2018-12-12 19:27:49,0.435s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 19:27:49,2018-12-12 19:27:51,2.001s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_Select_SelectOne""), findTestObject(""Form_Selection_Creation/group_area""))",Chrome 71.0.3578.80,,2018-12-12 19:27:51,2018-12-12 19:27:52,0.798s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_Select_OneName""), ""This is Select One"")",Chrome 71.0.3578.80,,2018-12-12 19:27:52,2018-12-12 19:27:52,0.564s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.80,,2018-12-12 19:27:52,2018-12-12 19:27:55,3.001s,PASSED
"click(findTestObject(""Form_Selection_Creation/button_Add New""))",Chrome 71.0.3578.80,,2018-12-12 19:27:55,2018-12-12 19:27:55,0.130s,PASSED
"setText(findTestObject(""Form_Selection_Creation/addSingleValue1""), ""Select Option1"")",Chrome 71.0.3578.80,,2018-12-12 19:27:55,2018-12-12 19:27:56,0.279s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 19:27:56,2018-12-12 19:27:58,2.002s,PASSED
"click(findTestObject(""Form_Selection_Creation/button_Add New""))",Chrome 71.0.3578.80,,2018-12-12 19:27:58,2018-12-12 19:27:58,0.211s,PASSED
"setText(findTestObject(""Form_Selection_Creation/addSingleValue2""), ""Select Option2"")",Chrome 71.0.3578.80,,2018-12-12 19:27:58,2018-12-12 19:27:58,0.400s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 19:27:58,2018-12-12 19:28:00,2.000s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_Select_SelectMultiple""), findTestObject(""Form_Selection_Creation/group_area""))",Chrome 71.0.3578.80,,2018-12-12 19:28:00,2018-12-12 19:28:01,0.885s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_Select_MultipleName""), ""This is Select Multiple "")",Chrome 71.0.3578.80,,2018-12-12 19:28:01,2018-12-12 19:28:02,0.472s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.80,,2018-12-12 19:28:02,2018-12-12 19:28:05,3.001s,PASSED
"click(findTestObject(""Form_Selection_Creation/button_AddNewMul""))",Chrome 71.0.3578.80,,2018-12-12 19:28:05,2018-12-12 19:28:05,0.151s,PASSED
"setText(findTestObject(""Form_Selection_Creation/addMultipleValue1""), ""Multiple Option1"")",Chrome 71.0.3578.80,,2018-12-12 19:28:05,2018-12-12 19:28:05,0.402s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 19:28:05,2018-12-12 19:28:07,2.002s,PASSED
"click(findTestObject(""Form_Selection_Creation/button_AddNewMul""))",Chrome 71.0.3578.80,,2018-12-12 19:28:07,2018-12-12 19:28:07,0.076s,PASSED
"setText(findTestObject(""Form_Selection_Creation/addMultipleValue2""), ""Multiple Option2"")",Chrome 71.0.3578.80,,2018-12-12 19:28:07,2018-12-12 19:28:08,0.393s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 19:28:08,2018-12-12 19:28:10,2.001s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectNumeric""), findTestObject(""Form_Selection_Creation/group_area""))",Chrome 71.0.3578.80,,2018-12-12 19:28:10,2018-12-12 19:28:11,0.904s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesignt_NumericName""), ""This is Numeric Field."")",Chrome 71.0.3578.80,,2018-12-12 19:28:11,2018-12-12 19:28:11,0.494s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 19:28:11,2018-12-12 19:28:13,2.001s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectDate""), findTestObject(""Form_Selection_Creation/group_area""))",Chrome 71.0.3578.80,,2018-12-12 19:28:13,2018-12-12 19:28:14,0.814s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_DateName""), ""This is Date"")",Chrome 71.0.3578.80,,2018-12-12 19:28:14,2018-12-12 19:28:14,0.459s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 19:28:14,2018-12-12 19:28:16,2.000s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectTime""), findTestObject(""Form_Selection_Creation/group_area""))",Chrome 71.0.3578.80,,2018-12-12 19:28:16,2018-12-12 19:28:17,0.809s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_TimeName""), ""This is Time"")",Chrome 71.0.3578.80,,2018-12-12 19:28:17,2018-12-12 19:28:18,0.464s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 19:28:18,2018-12-12 19:28:20,2.002s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectDateTime""), findTestObject(""Form_Selection_Creation/group_area""))",Chrome 71.0.3578.80,,2018-12-12 19:28:20,2018-12-12 19:28:20,0.800s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_DateTimeName""), ""This is Date-Time"")",Chrome 71.0.3578.80,,2018-12-12 19:28:20,2018-12-12 19:28:21,0.620s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 19:28:21,2018-12-12 19:28:23,2.000s,PASSED
"click(findTestObject(""Form_Selection_Creation/formCreation_NextToDesignForm""))",Chrome 71.0.3578.80,,2018-12-12 19:28:23,2018-12-12 19:28:23,0.103s,PASSED
Thread.sleep(7000),Chrome 71.0.3578.80,,2018-12-12 19:28:23,2018-12-12 19:28:30,7.001s,PASSED
"click(findTestObject(""Form_Selection_Creation/div_Preview             Form1""))",Chrome 71.0.3578.80,,2018-12-12 19:28:30,2018-12-12 19:28:30,0.085s,PASSED
Thread.sleep(5000),Chrome 71.0.3578.80,,2018-12-12 19:28:30,2018-12-12 19:28:35,5.001s,PASSED
"click(findTestObject(""Form_Selection_Creation/button_Release""))",Chrome 71.0.3578.80,,2018-12-12 19:28:35,2018-12-12 19:28:40,5.126s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.80,,2018-12-12 19:28:40,2018-12-12 19:28:44,4.001s,PASSED
,,,,,,
