Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer_Resource,Chrome 70.0.3538.110,,2018-12-04 10:34:41,2018-12-04 10:38:34,3m - 53.233s,PASSED
,,,,,,
Test Cases/CheckResoucesAsPerLocation/checkResource_Customer,Chrome 70.0.3538.110,,2018-12-04 10:34:42,2018-12-04 10:38:07,3m - 25.564s,PASSED
openBrowser(URL),Chrome 70.0.3538.110,,2018-12-04 10:34:42,2018-12-04 10:35:25,42.480s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-12-04 10:35:25,2018-12-04 10:35:26,1.152s,PASSED
"setText(findTestObject(""TestUserLocation/login_Username""), UserName)",Chrome 70.0.3538.110,,2018-12-04 10:35:26,2018-12-04 10:35:30,4.625s,PASSED
"setText(findTestObject(""TestUserLocation/login_Password""), Password)",Chrome 70.0.3538.110,,2018-12-04 10:35:30,2018-12-04 10:35:31,0.146s,PASSED
AdminTool_Location.setCustomerName(),Chrome 70.0.3538.110,,2018-12-04 10:35:31,2018-12-04 10:35:32,1.345s,PASSED
"click(findTestObject(""TestUserLocation/login_Button""))",Chrome 70.0.3538.110,,2018-12-04 10:35:32,2018-12-04 10:35:38,5.777s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-12-04 10:35:38,2018-12-04 10:35:42,4.005s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 70.0.3538.110,,2018-12-04 10:35:42,2018-12-04 10:35:44,2.216s,PASSED
"click(findTestObject(""TestUserLocation/adminTool""))",Chrome 70.0.3538.110,,2018-12-04 10:35:44,2018-12-04 10:35:44,0.106s,PASSED
"click(findTestObject(""TestUserLocation/mainMenuResourceDesigner""))",Chrome 70.0.3538.110,,2018-12-04 10:35:44,2018-12-04 10:35:44,0.108s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-12-04 10:35:44,2018-12-04 10:35:48,4.002s,PASSED
"click(findTestObject(""TestResource/customers""))",Chrome 70.0.3538.110,,2018-12-04 10:35:48,2018-12-04 10:35:48,0.090s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-12-04 10:35:48,2018-12-04 10:35:52,4.000s,PASSED
"click(findTestObject(""TestUserLocation/categories""))",Chrome 70.0.3538.110,,2018-12-04 10:35:52,2018-12-04 10:35:52,0.099s,PASSED
Thread.sleep(2000),Chrome 70.0.3538.110,,2018-12-04 10:35:52,2018-12-04 10:35:54,2.001s,PASSED
