Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DPT,Chrome 71.0.3578.98,,2019-02-18 10:47:52,2019-02-18 10:55:52,8m - 0.546s,PASSED
,,,,,,
Test Cases/DPT/1_CreateForm,Chrome 71.0.3578.98,,2019-02-18 10:47:52,2019-02-18 10:50:35,2m - 43.244s,PASSED
openBrowser(URL),Chrome 71.0.3578.98,,2019-02-18 10:47:53,2019-02-18 10:48:27,34.614s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-18 10:48:27,2019-02-18 10:48:29,1.174s,PASSED
"setText(findTestObject(""Form_Selection_Creation/login_Username""), UserName)",Chrome 71.0.3578.98,,2019-02-18 10:48:29,2019-02-18 10:48:34,5.598s,PASSED
"setText(findTestObject(""Form_Selection_Creation/login_Password""), Password)",Chrome 71.0.3578.98,,2019-02-18 10:48:34,2019-02-18 10:48:34,0.140s,PASSED
FormName.setData(),Chrome 71.0.3578.98,,2019-02-18 10:48:34,2019-02-18 10:48:36,1.310s,PASSED
"click(findTestObject(""Form_Selection_Creation/login_Button""))",Chrome 71.0.3578.98,,2019-02-18 10:48:36,2019-02-18 10:48:37,1.538s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.98,,2019-02-18 10:48:37,2019-02-18 10:48:40,3.015s,PASSED
AdminTool_Location.moveCursor(),Chrome 71.0.3578.98,,2019-02-18 10:48:40,2019-02-18 10:48:40,0.039s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-18 10:48:40,2019-02-18 10:48:42,2.007s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_Button""))",Chrome 71.0.3578.98,,2019-02-18 10:48:42,2019-02-18 10:48:43,0.668s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_AdminTools""))",Chrome 71.0.3578.98,,2019-02-18 10:48:43,2019-02-18 10:48:43,0.085s,PASSED
"waitForElementVisible(findTestObject(""Form_Selection_Creation/mainMenu_AdminTools_FormDesigner""), 45)",Chrome 71.0.3578.98,,2019-02-18 10:48:43,2019-02-18 10:48:43,0.170s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_AdminTools_FormDesigner""))",Chrome 71.0.3578.98,,2019-02-18 10:48:43,2019-02-18 10:48:43,0.177s,PASSED
"click(findTestObject(""Form_Selection_Creation/selectCheckForm""))",Chrome 71.0.3578.98,,2019-02-18 10:48:43,2019-02-18 10:48:43,0.120s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.98,,2019-02-18 10:48:43,2019-02-18 10:48:46,3.002s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_selectResource""), findTestObject(""Form_Selection_Creation/Target_Res_Object""))",Chrome 71.0.3578.98,,2019-02-18 10:48:46,2019-02-18 10:48:47,0.885s,PASSED
"waitForElementClickable(findTestObject(""Form_Selection_Creation/select1Res""), 45)",Chrome 71.0.3578.98,,2019-02-18 10:48:47,2019-02-18 10:48:47,0.096s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/select1Res""), findTestObject(""Form_Selection_Creation/Target_Res_Object""))",Chrome 71.0.3578.98,,2019-02-18 10:48:47,2019-02-18 10:48:48,0.681s,PASSED
"waitForElementClickable(findTestObject(""Form_Selection_Creation/select2Res""), 45)",Chrome 71.0.3578.98,,2019-02-18 10:48:48,2019-02-18 10:48:48,0.049s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/select2Res""), findTestObject(""Form_Selection_Creation/Target_Res_Object""))",Chrome 71.0.3578.98,,2019-02-18 10:48:48,2019-02-18 10:48:49,0.786s,PASSED
Thread.sleep(6000),Chrome 71.0.3578.98,,2019-02-18 10:48:49,2019-02-18 10:48:55,6.008s,PASSED
"click(findTestObject(""Form_Selection_Creation/formCreation_NextToDesignForm""))",Chrome 71.0.3578.98,,2019-02-18 10:48:55,2019-02-18 10:48:55,0.249s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-02-18 10:48:55,2019-02-18 10:48:59,4.001s,PASSED
"FormName.createForm(findTestObject(""Form_Selection_Creation/formDesign_FormName""))",Chrome 71.0.3578.98,,2019-02-18 10:48:59,2019-02-18 10:49:00,0.439s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-18 10:49:00,2019-02-18 10:49:02,2.000s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectNumeric""), findTestObject(""Form_Selection_Creation/default_area""))",Chrome 71.0.3578.98,,2019-02-18 10:49:02,2019-02-18 10:49:03,0.839s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-02-18 10:49:03,2019-02-18 10:49:07,4.001s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_NumericName""), ""This is Numeric Field."")",Chrome 71.0.3578.98,,2019-02-18 10:49:07,2019-02-18 10:49:07,0.511s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-02-18 10:49:07,2019-02-18 10:49:11,4.001s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectSection""), findTestObject(""Form_Selection_Creation/default_area""))",Chrome 71.0.3578.98,,2019-02-18 10:49:11,2019-02-18 10:49:12,0.786s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_SectionName""), ""This is Section 1"")",Chrome 71.0.3578.98,,2019-02-18 10:49:12,2019-02-18 10:49:12,0.334s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-18 10:49:12,2019-02-18 10:49:14,2.001s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectFieldgroup""), findTestObject(""Form_Selection_Creation/section_area""))",Chrome 71.0.3578.98,,2019-02-18 10:49:14,2019-02-18 10:49:15,0.803s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_FieldGroupName""), ""This is Field Group"")",Chrome 71.0.3578.98,,2019-02-18 10:49:15,2019-02-18 10:49:15,0.338s,PASSED
