Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Data Security,Chrome 72.0.3626.119,,2019-02-28 17:41:37,2019-02-28 17:53:40,12m - 3.205s,FAILED
,,,,,,
Test Cases/Data-Security/Create_Location,Chrome 72.0.3626.119,,2019-02-28 17:41:38,2019-02-28 17:44:57,3m - 19.280s,FAILED
openBrowser(URL),Chrome 72.0.3626.119,,2019-02-28 17:41:38,2019-02-28 17:42:25,46.401s,PASSED
maximizeWindow(),Chrome 72.0.3626.119,,2019-02-28 17:42:25,2019-02-28 17:42:26,1.220s,PASSED
"setText(findTestObject(""TestUserLocation/login_Username""), UserName)",Chrome 72.0.3626.119,,2019-02-28 17:42:26,2019-02-28 17:42:31,4.594s,PASSED
"setText(findTestObject(""TestUserLocation/login_Password""), Password)",Chrome 72.0.3626.119,,2019-02-28 17:42:31,2019-02-28 17:42:31,0.155s,PASSED
AdminTool_Location.setLocationName(),Chrome 72.0.3626.119,,2019-02-28 17:42:31,2019-02-28 17:42:36,5.548s,PASSED
"click(findTestObject(""TestUserLocation/login_Button""))",Chrome 72.0.3626.119,,2019-02-28 17:42:36,2019-02-28 17:44:17,1m - 40.518s,PASSED
Thread.sleep(4000),Chrome 72.0.3626.119,,2019-02-28 17:44:17,2019-02-28 17:44:21,4.003s,PASSED
AdminTool_Location.setLocationNameInLocation(),Chrome 72.0.3626.119,,2019-02-28 17:44:21,2019-02-28 17:44:25,4.155s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 72.0.3626.119,,2019-02-28 17:44:25,2019-02-28 17:44:57,31.710s,FAILED
,,,,,,
Test Cases/Data-Security/CreateRes_Customer,Chrome 72.0.3626.119,,2019-02-28 17:44:57,2019-02-28 17:45:33,36.313s,FAILED
openBrowser(URL),Chrome 72.0.3626.119,,2019-02-28 17:44:57,2019-02-28 17:44:57,0.005s,NOT_RUN
maximizeWindow(),Chrome 72.0.3626.119,,2019-02-28 17:44:57,2019-02-28 17:44:57,0.007s,NOT_RUN
"setText(findTestObject(""TestUserLocation/login_Username""), UserName)",Chrome 72.0.3626.119,,2019-02-28 17:44:57,2019-02-28 17:44:57,0.002s,NOT_RUN
"setText(findTestObject(""TestUserLocation/login_Password""), Password)",Chrome 72.0.3626.119,,2019-02-28 17:44:57,2019-02-28 17:44:57,0.007s,NOT_RUN
AdminTool_Location.setCustomerName(),Chrome 72.0.3626.119,,2019-02-28 17:44:57,2019-02-28 17:44:57,0.090s,PASSED
"click(findTestObject(""TestUserLocation/login_Button""))",Chrome 72.0.3626.119,,2019-02-28 17:44:57,2019-02-28 17:44:57,0.002s,NOT_RUN
Thread.sleep(4000),Chrome 72.0.3626.119,,2019-02-28 17:44:57,2019-02-28 17:45:01,4.002s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 72.0.3626.119,,2019-02-28 17:45:01,2019-02-28 17:45:33,31.724s,FAILED
,,,,,,
Test Cases/Data-Security/CreateRes_Equipment,Chrome 72.0.3626.119,,2019-02-28 17:45:33,2019-02-28 17:46:09,36.055s,FAILED
openBrowser(URL),Chrome 72.0.3626.119,,2019-02-28 17:45:33,2019-02-28 17:45:33,0.002s,NOT_RUN
maximizeWindow(),Chrome 72.0.3626.119,,2019-02-28 17:45:33,2019-02-28 17:45:33,0.002s,NOT_RUN
"setText(findTestObject(""TestUserLocation/login_Username""), UserName)",Chrome 72.0.3626.119,,2019-02-28 17:45:33,2019-02-28 17:45:33,0.002s,NOT_RUN
"setText(findTestObject(""TestUserLocation/login_Password""), Password)",Chrome 72.0.3626.119,,2019-02-28 17:45:33,2019-02-28 17:45:33,0.002s,NOT_RUN
AdminTool_Location.setEquipmentName(),Chrome 72.0.3626.119,,2019-02-28 17:45:33,2019-02-28 17:45:34,0.146s,PASSED
"click(findTestObject(""TestUserLocation/login_Button""))",Chrome 72.0.3626.119,,2019-02-28 17:45:34,2019-02-28 17:45:34,0.001s,NOT_RUN
Thread.sleep(4000),Chrome 72.0.3626.119,,2019-02-28 17:45:34,2019-02-28 17:45:38,4.001s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 72.0.3626.119,,2019-02-28 17:45:38,2019-02-28 17:46:09,31.579s,FAILED
,,,,,,
Test Cases/Data-Security/CreateRes_Items,Chrome 72.0.3626.119,,2019-02-28 17:46:09,2019-02-28 17:46:41,31.998s,FAILED
openBrowser(URL),Chrome 72.0.3626.119,,2019-02-28 17:46:09,2019-02-28 17:46:09,0.001s,NOT_RUN
maximizeWindow(),Chrome 72.0.3626.119,,2019-02-28 17:46:09,2019-02-28 17:46:09,0.001s,NOT_RUN
"setText(findTestObject(""TestUserLocation/login_Username""), UserName)",Chrome 72.0.3626.119,,2019-02-28 17:46:09,2019-02-28 17:46:10,0.003s,NOT_RUN
"setText(findTestObject(""TestUserLocation/login_Password""), Password)",Chrome 72.0.3626.119,,2019-02-28 17:46:10,2019-02-28 17:46:10,0.001s,NOT_RUN
AdminTool_Location.setItemName(),Chrome 72.0.3626.119,,2019-02-28 17:46:10,2019-02-28 17:46:10,0.094s,PASSED
"click(findTestObject(""TestUserLocation/login_Button""))",Chrome 72.0.3626.119,,2019-02-28 17:46:10,2019-02-28 17:46:10,0.002s,NOT_RUN
Thread.sleep(4000),Chrome 72.0.3626.119,,2019-02-28 17:46:10,2019-02-28 17:46:10,0.002s,NOT_RUN
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 72.0.3626.119,,2019-02-28 17:46:10,2019-02-28 17:46:41,31.605s,FAILED
,,,,,,
Test Cases/Data-Security/CreateRes_Supplier,Chrome 72.0.3626.119,,2019-02-28 17:46:41,2019-02-28 17:47:17,35.935s,FAILED
openBrowser(URL),Chrome 72.0.3626.119,,2019-02-28 17:46:41,2019-02-28 17:46:41,0.002s,NOT_RUN
maximizeWindow(),Chrome 72.0.3626.119,,2019-02-28 17:46:41,2019-02-28 17:46:41,0.006s,NOT_RUN
"setText(findTestObject(""TestUserLocation/login_Username""), UserName)",Chrome 72.0.3626.119,,2019-02-28 17:46:41,2019-02-28 17:46:41,0.002s,NOT_RUN
"setText(findTestObject(""TestUserLocation/login_Password""), Password)",Chrome 72.0.3626.119,,2019-02-28 17:46:41,2019-02-28 17:46:41,0.001s,NOT_RUN
AdminTool_Location.setSupplierName(),Chrome 72.0.3626.119,,2019-02-28 17:46:41,2019-02-28 17:46:42,0.091s,PASSED
"click(findTestObject(""TestUserLocation/login_Button""))",Chrome 72.0.3626.119,,2019-02-28 17:46:42,2019-02-28 17:46:42,0.001s,NOT_RUN
Thread.sleep(4000),Chrome 72.0.3626.119,,2019-02-28 17:46:42,2019-02-28 17:46:46,4.001s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 72.0.3626.119,,2019-02-28 17:46:46,2019-02-28 17:47:17,31.616s,FAILED
,,,,,,
Test Cases/Data-Security/createUser,Chrome 72.0.3626.119,,2019-02-28 17:47:17,2019-02-28 17:49:08,1m - 50.840s,FAILED
openBrowser(URL),Chrome 72.0.3626.119,,2019-02-28 17:47:17,2019-02-28 17:47:17,0.003s,NOT_RUN
maximizeWindow(),Chrome 72.0.3626.119,,2019-02-28 17:47:17,2019-02-28 17:47:17,0.002s,NOT_RUN
"waitForElementVisible(findTestObject(""TestUserLocation/login_Username""), 70)",Chrome 72.0.3626.119,,2019-02-28 17:47:17,2019-02-28 17:47:17,0.002s,NOT_RUN
"setText(findTestObject(""TestUserLocation/login_Username""), UserName)",Chrome 72.0.3626.119,,2019-02-28 17:47:17,2019-02-28 17:47:17,0.002s,NOT_RUN
"setText(findTestObject(""TestUserLocation/login_Password""), Password)",Chrome 72.0.3626.119,,2019-02-28 17:47:17,2019-02-28 17:47:17,0.007s,NOT_RUN
User.setNamePass(),Chrome 72.0.3626.119,,2019-02-28 17:47:17,2019-02-28 17:47:18,0.081s,PASSED
"click(findTestObject(""TestUserLocation/login_Button""))",Chrome 72.0.3626.119,,2019-02-28 17:47:18,2019-02-28 17:47:18,0.001s,NOT_RUN
