Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Data-Security,Chrome 72.0.3626.121,,2019-03-08 14:07:25,2019-03-08 14:27:45,20m - 20.469s,FAILED
,,,,,,
Test Cases/Data-Security/1_CreateLocation,Chrome 72.0.3626.121,,2019-03-08 14:07:25,2019-03-08 14:09:34,2m - 8.496s,PASSED
openBrowser(URL),Chrome 72.0.3626.121,,2019-03-08 14:07:26,2019-03-08 14:07:58,31.813s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,,2019-03-08 14:07:58,2019-03-08 14:07:59,1.231s,PASSED
"setText(findTestObject(""TestUserLocation/login_Username""), UserName)",Chrome 72.0.3626.121,,2019-03-08 14:07:59,2019-03-08 14:08:03,3.566s,PASSED
"setText(findTestObject(""TestUserLocation/login_Password""), Password)",Chrome 72.0.3626.121,,2019-03-08 14:08:03,2019-03-08 14:08:03,0.136s,PASSED
AdminTool_Location.setLocationName(),Chrome 72.0.3626.121,,2019-03-08 14:08:03,2019-03-08 14:08:08,5.447s,PASSED
"click(findTestObject(""TestUserLocation/login_Button""))",Chrome 72.0.3626.121,,2019-03-08 14:08:08,2019-03-08 14:08:10,1.723s,PASSED
"waitForElementClickable(findTestObject(""TestUserLocation/mainmenu_button""), 30)",Chrome 72.0.3626.121,,2019-03-08 14:08:10,2019-03-08 14:08:15,5.476s,PASSED
Thread.sleep(2000),Chrome 72.0.3626.121,,2019-03-08 14:08:15,2019-03-08 14:08:17,2.004s,PASSED
AdminTool_Location.setLocationNameInLocation(),Chrome 72.0.3626.121,,2019-03-08 14:08:17,2019-03-08 14:08:21,4.160s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 72.0.3626.121,,2019-03-08 14:08:21,2019-03-08 14:08:22,0.407s,PASSED
Thread.sleep(2000),Chrome 72.0.3626.121,,2019-03-08 14:08:22,2019-03-08 14:08:24,2.001s,PASSED
"click(findTestObject(""TestUserLocation/adminTool""))",Chrome 72.0.3626.121,,2019-03-08 14:08:24,2019-03-08 14:08:24,0.139s,PASSED
Thread.sleep(2000),Chrome 72.0.3626.121,,2019-03-08 14:08:24,2019-03-08 14:08:26,2.001s,PASSED
"click(findTestObject(""TestUserLocation/mainMenuResourceDesigner""))",Chrome 72.0.3626.121,,2019-03-08 14:08:26,2019-03-08 14:08:26,0.327s,PASSED
"waitForElementClickable(findTestObject(""TestUserLocation/locations""), 30)",Chrome 72.0.3626.121,,2019-03-08 14:08:26,2019-03-08 14:08:27,0.629s,PASSED
Thread.sleep(2000),Chrome 72.0.3626.121,,2019-03-08 14:08:27,2019-03-08 14:08:29,2.003s,PASSED
"click(findTestObject(""TestUserLocation/locations""))",Chrome 72.0.3626.121,,2019-03-08 14:08:29,2019-03-08 14:08:29,0.124s,PASSED
Thread.sleep(2000),Chrome 72.0.3626.121,,2019-03-08 14:08:29,2019-03-08 14:08:31,2.014s,PASSED
