Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Equipment_Resource,Chrome 70.0.3538.110,,2018-11-30 17:28:32,2018-11-30 17:32:07,3m - 35.321s,PASSED
,,,,,,
Test Cases/CheckResoucesAsPerLocation/checkResource_Equipment,Chrome 70.0.3538.110,,2018-11-30 17:28:32,2018-11-30 17:31:41,3m - 8.803s,PASSED
openBrowser(URL),Chrome 70.0.3538.110,,2018-11-30 17:28:33,2018-11-30 17:29:04,30.927s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-11-30 17:29:04,2018-11-30 17:29:05,1.208s,PASSED
"setText(findTestObject(""TestUserLocation/login_Username""), UserName)",Chrome 70.0.3538.110,,2018-11-30 17:29:05,2018-11-30 17:29:08,2.482s,PASSED
"setText(findTestObject(""TestUserLocation/login_Password""), Password)",Chrome 70.0.3538.110,,2018-11-30 17:29:08,2018-11-30 17:29:08,0.277s,PASSED
AdminTool_Location.setEquipmentName(),Chrome 70.0.3538.110,,2018-11-30 17:29:08,2018-11-30 17:29:10,1.441s,PASSED
"click(findTestObject(""TestUserLocation/login_Button""))",Chrome 70.0.3538.110,,2018-11-30 17:29:10,2018-11-30 17:29:11,1.748s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-11-30 17:29:11,2018-11-30 17:29:15,4.005s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 70.0.3538.110,,2018-11-30 17:29:15,2018-11-30 17:29:18,2.759s,PASSED
"click(findTestObject(""TestUserLocation/adminTool""))",Chrome 70.0.3538.110,,2018-11-30 17:29:18,2018-11-30 17:29:18,0.097s,PASSED
"click(findTestObject(""TestUserLocation/mainMenuResourceDesigner""))",Chrome 70.0.3538.110,,2018-11-30 17:29:18,2018-11-30 17:29:18,0.303s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-11-30 17:29:18,2018-11-30 17:29:22,4.001s,PASSED
"click(findTestObject(""TestResource/equipment""))",Chrome 70.0.3538.110,,2018-11-30 17:29:22,2018-11-30 17:29:23,0.082s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-11-30 17:29:23,2018-11-30 17:29:27,4.001s,PASSED
