Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
First_SupplierFlow,Chrome 71.0.3578.98,,2018-12-17 18:57:30,2018-12-17 19:05:29,7m - 58.919s,PASSED
,,,,,,
Test Cases/SupplierFlow/1_CreateForm,Chrome 71.0.3578.98,,2018-12-17 18:57:30,2018-12-17 18:59:40,2m - 9.580s,PASSED
openBrowser(URL),Chrome 71.0.3578.98,,2018-12-17 18:57:32,2018-12-17 18:58:06,34.257s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-17 18:58:06,2018-12-17 18:58:07,1.173s,PASSED
"setText(findTestObject(""Form_Selection_Creation/login_Username""), UserName)",Chrome 71.0.3578.98,,2018-12-17 18:58:07,2018-12-17 18:58:11,3.932s,PASSED
"setText(findTestObject(""Form_Selection_Creation/login_Password""), Password)",Chrome 71.0.3578.98,,2018-12-17 18:58:11,2018-12-17 18:58:11,0.151s,PASSED
FormName.setData(),Chrome 71.0.3578.98,,2018-12-17 18:58:11,2018-12-17 18:58:13,1.323s,PASSED
"click(findTestObject(""Form_Selection_Creation/login_Button""))",Chrome 71.0.3578.98,,2018-12-17 18:58:13,2018-12-17 18:58:14,1.683s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.98,,2018-12-17 18:58:14,2018-12-17 18:58:17,3.004s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_Button""))",Chrome 71.0.3578.98,,2018-12-17 18:58:17,2018-12-17 18:58:19,1.642s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_AdminTools""))",Chrome 71.0.3578.98,,2018-12-17 18:58:19,2018-12-17 18:58:19,0.086s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_AdminTools_FormDesigner""))",Chrome 71.0.3578.98,,2018-12-17 18:58:19,2018-12-17 18:58:19,0.212s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2018-12-17 18:58:19,2018-12-17 18:58:21,2.002s,PASSED
"click(findTestObject(""Form_Selection_Creation/selectQuestionaireForm""))",Chrome 71.0.3578.98,,2018-12-17 18:58:21,2018-12-17 18:58:21,0.126s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.98,,2018-12-17 18:58:21,2018-12-17 18:58:24,3.000s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_selectResource""), findTestObject(""Form_Selection_Creation/Target_Res_Object""))",Chrome 71.0.3578.98,,2018-12-17 18:58:24,2018-12-17 18:58:25,0.800s,PASSED
Thread.sleep(6000),Chrome 71.0.3578.98,,2018-12-17 18:58:25,2018-12-17 18:58:31,6.002s,PASSED
