Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Internal_Task,Chrome 71.0.3578.98,,2019-01-23 14:16:59,2019-01-23 14:19:54,2m - 54.854s,FAILED
,,,,,,
Test Cases/Internal_TaskManagement/1_CreateForm,Chrome 71.0.3578.98,,2019-01-23 14:16:59,2019-01-23 14:18:04,1m - 4.889s,FAILED
openBrowser(URL),Chrome 71.0.3578.98,,2019-01-23 14:17:00,2019-01-23 14:17:36,36.444s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-23 14:17:36,2019-01-23 14:17:37,1.174s,PASSED
"setText(findTestObject(""Form_Selection_Creation/login_Username""), UserName)",Chrome 71.0.3578.98,,2019-01-23 14:17:37,2019-01-23 14:17:41,3.138s,PASSED
"setText(findTestObject(""Form_Selection_Creation/login_Password""), Password)",Chrome 71.0.3578.98,,2019-01-23 14:17:41,2019-01-23 14:17:41,0.126s,PASSED
FormName.setData(),Chrome 71.0.3578.98,,2019-01-23 14:17:41,2019-01-23 14:17:42,1.284s,PASSED
"click(findTestObject(""Form_Selection_Creation/login_Button""))",Chrome 71.0.3578.98,,2019-01-23 14:17:42,2019-01-23 14:17:46,3.974s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.98,,2019-01-23 14:17:46,2019-01-23 14:17:49,3.010s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_Button""))",Chrome 71.0.3578.98,,2019-01-23 14:17:49,2019-01-23 14:17:55,6.164s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_AdminTools""))",Chrome 71.0.3578.98,,2019-01-23 14:17:55,2019-01-23 14:17:55,0.144s,PASSED
"waitForElementVisible(findTestObject(""Form_Selection_Creation/mainMenu_AdminTools_FormDesigner""), 45)",Chrome 71.0.3578.98,,2019-01-23 14:17:55,2019-01-23 14:17:56,0.242s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_AdminTools_FormDesigner""))",Chrome 71.0.3578.98,,2019-01-23 14:17:56,2019-01-23 14:17:56,0.147s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-23 14:17:56,2019-01-23 14:17:58,2.002s,PASSED
AdminTool_Location.moveCursor(),Chrome 71.0.3578.98,,2019-01-23 14:17:58,2019-01-23 14:17:58,0.062s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-23 14:17:58,2019-01-23 14:18:00,2.009s,PASSED
"click(findTestObject(""Form_Selection_Creation/selectQuestionaireForm""))",Chrome 71.0.3578.98,,2019-01-23 14:18:00,2019-01-23 14:18:00,0.105s,PASSED
"waitForElementVisible(findTestObject(""Form_Selection_Creation/openResType""), 18)",Chrome 71.0.3578.98,,2019-01-23 14:18:00,2019-01-23 14:18:00,0.572s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.98,,2019-01-23 14:18:00,2019-01-23 14:18:03,3.002s,PASSED
"click(findTestObject(""Form_Selection_Creation/openResType""))",Chrome 71.0.3578.98,,2019-01-23 14:18:03,2019-01-23 14:18:04,0.615s,FAILED
,,,,,,
Test Cases/Internal_TaskManagement/5_CreateWG,Chrome 71.0.3578.98,,2019-01-23 14:18:04,2019-01-23 14:18:34,30.008s,PASSED
openBrowser(URL),Chrome 71.0.3578.98,,2019-01-23 14:18:05,2019-01-23 14:18:05,0.012s,NOT_RUN
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-23 14:18:05,2019-01-23 14:18:05,0.002s,NOT_RUN
"setText(findTestObject(""Form_Selection_Creation/login_Username""), UserName)",Chrome 71.0.3578.98,,2019-01-23 14:18:05,2019-01-23 14:18:05,0.002s,NOT_RUN
