Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Items_Resource,Chrome 70.0.3538.110,,2018-11-30 15:19:09,2018-11-30 15:22:48,3m - 39.386s,PASSED
,,,,,,
Test Cases/CheckResoucesAsPerLocation/checkResource_Items,Chrome 70.0.3538.110,,2018-11-30 15:19:09,2018-11-30 15:22:21,3m - 12.543s,PASSED
openBrowser(URL),Chrome 70.0.3538.110,,2018-11-30 15:19:10,2018-11-30 15:19:38,28.261s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-11-30 15:19:38,2018-11-30 15:19:39,1.193s,PASSED
"setText(findTestObject(""TestUserLocation/login_Username""), UserName)",Chrome 70.0.3538.110,,2018-11-30 15:19:39,2018-11-30 15:19:43,4.391s,PASSED
"setText(findTestObject(""TestUserLocation/login_Password""), Password)",Chrome 70.0.3538.110,,2018-11-30 15:19:43,2018-11-30 15:19:44,0.171s,PASSED
AdminTool_Location.setItemName(),Chrome 70.0.3538.110,,2018-11-30 15:19:44,2018-11-30 15:19:45,1.138s,PASSED
"click(findTestObject(""TestUserLocation/login_Button""))",Chrome 70.0.3538.110,,2018-11-30 15:19:45,2018-11-30 15:19:47,2.562s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-11-30 15:19:47,2018-11-30 15:19:51,4.004s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 70.0.3538.110,,2018-11-30 15:19:51,2018-11-30 15:19:53,1.763s,PASSED
"click(findTestObject(""TestUserLocation/adminTool""))",Chrome 70.0.3538.110,,2018-11-30 15:19:53,2018-11-30 15:19:53,0.091s,PASSED
"click(findTestObject(""TestUserLocation/mainMenuResourceDesigner""))",Chrome 70.0.3538.110,,2018-11-30 15:19:53,2018-11-30 15:19:53,0.262s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-11-30 15:19:53,2018-11-30 15:19:57,4.002s,PASSED
"click(findTestObject(""TestResource/items""))",Chrome 70.0.3538.110,,2018-11-30 15:19:57,2018-11-30 15:19:57,0.094s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-11-30 15:19:57,2018-11-30 15:20:01,4.002s,PASSED
"click(findTestObject(""TestUserLocation/categories""))",Chrome 70.0.3538.110,,2018-11-30 15:20:01,2018-11-30 15:20:02,0.116s,PASSED
Thread.sleep(2000),Chrome 70.0.3538.110,,2018-11-30 15:20:02,2018-11-30 15:20:04,2.001s,PASSED
"click(findTestObject(""TestUserLocation/defaultArea""))",Chrome 70.0.3538.110,,2018-11-30 15:20:04,2018-11-30 15:20:04,0.105s,PASSED
Thread.sleep(2000),Chrome 70.0.3538.110,,2018-11-30 15:20:04,2018-11-30 15:20:06,2.000s,PASSED
