Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Locations,Chrome 71.0.3578.80,,2018-12-12 16:41:33,2018-12-12 16:43:05,1m - 32.389s,PASSED
,,,,,,
Test Cases/CheckResoucesAsPerLocation/checkLocation,Chrome 71.0.3578.80,,2018-12-12 16:41:33,2018-12-12 16:43:04,1m - 31.169s,PASSED
openBrowser(URL),Chrome 71.0.3578.80,,2018-12-12 16:41:34,2018-12-12 16:42:07,32.912s,PASSED
maximizeWindow(),Chrome 71.0.3578.80,,2018-12-12 16:42:07,2018-12-12 16:42:08,1.199s,PASSED
"setText(findTestObject(""TestUserLocation/login_Username""), UserName)",Chrome 71.0.3578.80,,2018-12-12 16:42:08,2018-12-12 16:42:11,3.389s,PASSED
"setText(findTestObject(""TestUserLocation/login_Password""), Password)",Chrome 71.0.3578.80,,2018-12-12 16:42:11,2018-12-12 16:42:12,0.191s,PASSED
AdminTool_Location.setLocationName(),Chrome 71.0.3578.80,,2018-12-12 16:42:12,2018-12-12 16:42:13,1.482s,PASSED
"click(findTestObject(""TestUserLocation/login_Button""))",Chrome 71.0.3578.80,,2018-12-12 16:42:13,2018-12-12 16:42:18,4.486s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.80,,2018-12-12 16:42:18,2018-12-12 16:42:22,4.019s,PASSED
AdminTool_Location.setLocationNameInLocation(),Chrome 71.0.3578.80,,2018-12-12 16:42:22,2018-12-12 16:42:22,0.114s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 71.0.3578.80,,2018-12-12 16:42:22,2018-12-12 16:42:23,1.672s,PASSED
"click(findTestObject(""TestUserLocation/adminTool""))",Chrome 71.0.3578.80,,2018-12-12 16:42:23,2018-12-12 16:42:23,0.087s,PASSED
"click(findTestObject(""TestUserLocation/mainMenuResourceDesigner""))",Chrome 71.0.3578.80,,2018-12-12 16:42:23,2018-12-12 16:42:24,0.174s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.80,,2018-12-12 16:42:24,2018-12-12 16:42:28,4.001s,PASSED
"click(findTestObject(""TestUserLocation/locations""))",Chrome 71.0.3578.80,,2018-12-12 16:42:28,2018-12-12 16:42:28,0.093s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.80,,2018-12-12 16:42:28,2018-12-12 16:42:32,4.003s,PASSED
refresh(),Chrome 71.0.3578.80,,2018-12-12 16:42:32,2018-12-12 16:42:32,0.003s,NOT_RUN
Thread.sleep(4000),Chrome 71.0.3578.80,,2018-12-12 16:42:32,2018-12-12 16:42:32,0.002s,NOT_RUN
"click(findTestObject(""TestUserLocation/categories""))",Chrome 71.0.3578.80,,2018-12-12 16:42:32,2018-12-12 16:42:32,0.117s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 16:42:32,2018-12-12 16:42:34,2.001s,PASSED
"click(findTestObject(""TestUserLocation/defaultArea""))",Chrome 71.0.3578.80,,2018-12-12 16:42:34,2018-12-12 16:42:34,0.101s,PASSED
"click(findTestObject(""TestUserLocation/hoverHeading""))",Chrome 71.0.3578.80,,2018-12-12 16:42:34,2018-12-12 16:42:34,0.102s,PASSED
"click(findTestObject(""TestUserLocation/addPlusIcon""))",Chrome 71.0.3578.80,,2018-12-12 16:42:34,2018-12-12 16:42:34,0.119s,PASSED
"setText(findTestObject(""TestUserLocation/setNewName""), findTestData(""LocationData"").getValue(""LocationName"", 1))",Chrome 71.0.3578.80,,2018-12-12 16:42:34,2018-12-12 16:42:35,0.418s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 16:42:35,2018-12-12 16:42:37,2.001s,PASSED
"click(findTestObject(""TestUserLocation/saveButton""))",Chrome 71.0.3578.80,,2018-12-12 16:42:37,2018-12-12 16:42:37,0.149s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.80,,2018-12-12 16:42:37,2018-12-12 16:42:41,4.003s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 71.0.3578.80,,2018-12-12 16:42:41,2018-12-12 16:42:41,0.089s,PASSED
"click(findTestObject(""TestUserLocation/mainMenuLocation""))",Chrome 71.0.3578.80,,2018-12-12 16:42:41,2018-12-12 16:42:41,0.091s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.80,,2018-12-12 16:42:41,2018-12-12 16:42:45,4.001s,PASSED
AdminTool_Location.selectLocation(),Chrome 71.0.3578.80,,2018-12-12 16:42:45,2018-12-12 16:42:49,4.282s,PASSED
"click(findTestObject(""TestUserLocation/addPlusIcon""))",Chrome 71.0.3578.80,,2018-12-12 16:42:49,2018-12-12 16:42:49,0.147s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 16:42:49,2018-12-12 16:42:51,2.000s,PASSED
"setText(findTestObject(""TestUserLocation/setNewName""), findTestData(""LocationData"").getValue(""SubLocationName"", 1))",Chrome 71.0.3578.80,,2018-12-12 16:42:51,2018-12-12 16:42:52,0.359s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 16:42:52,2018-12-12 16:42:54,2.001s,PASSED
"click(findTestObject(""TestUserLocation/saveLocationDetailButton""))",Chrome 71.0.3578.80,,2018-12-12 16:42:54,2018-12-12 16:42:54,0.109s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.80,,2018-12-12 16:42:54,2018-12-12 16:42:58,4.000s,PASSED
"click(findTestObject(""TestUserLocation/customerSelect""))",Chrome 71.0.3578.80,,2018-12-12 16:42:58,2018-12-12 16:42:58,0.099s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.80,,2018-12-12 16:42:58,2018-12-12 16:43:02,4.004s,PASSED
"check(findTestObject(""TestUserLocation/select4ResouceInCustomer""))",Chrome 71.0.3578.80,,2018-12-12 16:43:02,2018-12-12 16:43:02,0.154s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.80,,2018-12-12 16:43:02,2018-12-12 16:43:04,2.001s,PASSED
"click(findTestObject(""TestUserLocation/saveLocationDetailButton""))",Chrome 71.0.3578.80,,2018-12-12 16:43:04,2018-12-12 16:43:04,0.095s,PASSED
