Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyTest,Chrome 71.0.3578.98,,2019-02-04 18:24:11,2019-02-04 18:38:14,14m - 3.389s,PASSED
,,,,,,
Test Cases/Forms/AuditForm/1_CreateForm,Chrome 71.0.3578.98,,2019-02-04 18:24:11,2019-02-04 18:26:38,2m - 26.884s,PASSED
openBrowser(URL),Chrome 71.0.3578.98,,2019-02-04 18:24:12,2019-02-04 18:24:54,42.562s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-02-04 18:24:54,2019-02-04 18:24:56,1.209s,PASSED
"setText(findTestObject(""Form_Selection_Creation/login_Username""), UserName)",Chrome 71.0.3578.98,,2019-02-04 18:24:56,2019-02-04 18:25:00,4.195s,PASSED
"setText(findTestObject(""Form_Selection_Creation/login_Password""), Password)",Chrome 71.0.3578.98,,2019-02-04 18:25:00,2019-02-04 18:25:00,0.138s,PASSED
FormName.setData(),Chrome 71.0.3578.98,,2019-02-04 18:25:00,2019-02-04 18:25:01,1.326s,PASSED
"click(findTestObject(""Form_Selection_Creation/login_Button""))",Chrome 71.0.3578.98,,2019-02-04 18:25:01,2019-02-04 18:25:03,1.983s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.98,,2019-02-04 18:25:03,2019-02-04 18:25:06,3.019s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_Button""))",Chrome 71.0.3578.98,,2019-02-04 18:25:06,2019-02-04 18:25:08,1.763s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_AdminTools""))",Chrome 71.0.3578.98,,2019-02-04 18:25:08,2019-02-04 18:25:08,0.100s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_AdminTools_FormDesigner""))",Chrome 71.0.3578.98,,2019-02-04 18:25:08,2019-02-04 18:25:09,0.306s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-04 18:25:09,2019-02-04 18:25:11,2.003s,PASSED
"click(findTestObject(""Form_Selection_Creation/selectAuditForm""))",Chrome 71.0.3578.98,,2019-02-04 18:25:11,2019-02-04 18:25:11,0.159s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.98,,2019-02-04 18:25:11,2019-02-04 18:25:14,3.001s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_selectResource""), findTestObject(""Form_Selection_Creation/Target_Res_Object""))",Chrome 71.0.3578.98,,2019-02-04 18:25:14,2019-02-04 18:25:15,1.014s,PASSED
"waitForElementClickable(findTestObject(""Form_Selection_Creation/select1Res""), 45)",Chrome 71.0.3578.98,,2019-02-04 18:25:15,2019-02-04 18:25:15,0.106s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/select1Res""), findTestObject(""Form_Selection_Creation/Target_Res_Object""))",Chrome 71.0.3578.98,,2019-02-04 18:25:15,2019-02-04 18:25:15,0.665s,PASSED
"waitForElementClickable(findTestObject(""Form_Selection_Creation/select2Res""), 45)",Chrome 71.0.3578.98,,2019-02-04 18:25:15,2019-02-04 18:25:16,0.045s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/select2Res""), findTestObject(""Form_Selection_Creation/Target_Res_Object""))",Chrome 71.0.3578.98,,2019-02-04 18:25:16,2019-02-04 18:25:16,0.712s,PASSED
Thread.sleep(6000),Chrome 71.0.3578.98,,2019-02-04 18:25:16,2019-02-04 18:25:22,6.006s,PASSED
"click(findTestObject(""Form_Selection_Creation/formCreation_NextToDesignForm""))",Chrome 71.0.3578.98,,2019-02-04 18:25:22,2019-02-04 18:25:23,0.376s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-02-04 18:25:23,2019-02-04 18:25:27,4.001s,PASSED
AdminTool_Location.moveCursor(),Chrome 71.0.3578.98,,2019-02-04 18:25:27,2019-02-04 18:25:27,0.037s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-04 18:25:27,2019-02-04 18:25:29,2.000s,PASSED
"FormName.createForm(findTestObject(""Form_Selection_Creation/formDesign_FormName""))",Chrome 71.0.3578.98,,2019-02-04 18:25:29,2019-02-04 18:25:29,0.563s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-04 18:25:29,2019-02-04 18:25:31,2.002s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectSection""), findTestObject(""Form_Selection_Creation/default_area""))",Chrome 71.0.3578.98,,2019-02-04 18:25:31,2019-02-04 18:25:32,0.928s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_SectionName""), ""This is a Section"")",Chrome 71.0.3578.98,,2019-02-04 18:25:32,2019-02-04 18:25:32,0.305s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-04 18:25:32,2019-02-04 18:25:34,2.000s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectFieldgroup""), findTestObject(""Form_Selection_Creation/section_area""))",Chrome 71.0.3578.98,,2019-02-04 18:25:34,2019-02-04 18:25:35,0.835s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_questionGroupName_Text""), ""This is Field Group"")",Chrome 71.0.3578.98,,2019-02-04 18:25:35,2019-02-04 18:25:36,0.321s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-04 18:25:36,2019-02-04 18:25:38,2.001s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectFree Text""), findTestObject(""Form_Selection_Creation/questionGroupArea""))",Chrome 71.0.3578.98,,2019-02-04 18:25:38,2019-02-04 18:25:38,0.824s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_SingleLineName""), ""This is Free Text"")",Chrome 71.0.3578.98,,2019-02-04 18:25:38,2019-02-04 18:25:39,0.428s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-04 18:25:39,2019-02-04 18:25:41,2.002s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectParagraphText""), findTestObject(""Form_Selection_Creation/questionGroupArea""))",Chrome 71.0.3578.98,,2019-02-04 18:25:41,2019-02-04 18:25:42,0.818s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_ParagraphName""), ""This is Paragraph"")",Chrome 71.0.3578.98,,2019-02-04 18:25:42,2019-02-04 18:25:42,0.414s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-04 18:25:42,2019-02-04 18:25:44,2.000s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_Select_SelectOne""), findTestObject(""Form_Selection_Creation/questionGroupArea""))",Chrome 71.0.3578.98,,2019-02-04 18:25:44,2019-02-04 18:25:50,5.790s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_Select_OneName""), ""This is Select One"")",Chrome 71.0.3578.98,,2019-02-04 18:25:50,2019-02-04 18:25:50,0.513s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-04 18:25:50,2019-02-04 18:25:52,2.001s,PASSED
"waitForElementClickable(findTestObject(""Form_Selection_Creation/button_AddNew1""), 30)",Chrome 71.0.3578.98,,2019-02-04 18:25:52,2019-02-04 18:25:52,0.055s,PASSED
"click(findTestObject(""Form_Selection_Creation/button_AddNew1""))",Chrome 71.0.3578.98,,2019-02-04 18:25:52,2019-02-04 18:25:53,0.123s,PASSED
"setText(findTestObject(""Form_Selection_Creation/add1singleValue1""), ""Single Option1"")",Chrome 71.0.3578.98,,2019-02-04 18:25:53,2019-02-04 18:25:53,0.347s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.98,,2019-02-04 18:25:53,2019-02-04 18:25:56,3.000s,PASSED
"click(findTestObject(""Form_Selection_Creation/button_AddNew1""))",Chrome 71.0.3578.98,,2019-02-04 18:25:56,2019-02-04 18:25:56,0.100s,PASSED
"setText(findTestObject(""Form_Selection_Creation/add1singleValue2""), ""Single Option2"")",Chrome 71.0.3578.98,,2019-02-04 18:25:56,2019-02-04 18:25:56,0.359s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-04 18:25:56,2019-02-04 18:25:58,2.000s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_Select_SelectMultiple""), findTestObject(""Form_Selection_Creation/questionGroupArea""))",Chrome 71.0.3578.98,,2019-02-04 18:25:58,2019-02-04 18:25:59,0.863s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_Select_MultipleName""), ""This is Select Multiple"")",Chrome 71.0.3578.98,,2019-02-04 18:25:59,2019-02-04 18:26:00,0.613s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.98,,2019-02-04 18:26:00,2019-02-04 18:26:03,3.001s,PASSED
"click(findTestObject(""Form_Selection_Creation/button_addNewMul1""))",Chrome 71.0.3578.98,,2019-02-04 18:26:03,2019-02-04 18:26:03,0.125s,PASSED
"setText(findTestObject(""Form_Selection_Creation/add1MultipleValue1""), ""Multiple Option1"")",Chrome 71.0.3578.98,,2019-02-04 18:26:03,2019-02-04 18:26:03,0.379s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-04 18:26:03,2019-02-04 18:26:05,2.001s,PASSED
"click(findTestObject(""Form_Selection_Creation/button_addNewMul1""))",Chrome 71.0.3578.98,,2019-02-04 18:26:05,2019-02-04 18:26:05,0.090s,PASSED
"setText(findTestObject(""Form_Selection_Creation/add1MultipleValue2""), ""Multiple Option2"")",Chrome 71.0.3578.98,,2019-02-04 18:26:05,2019-02-04 18:26:06,0.317s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-02-04 18:26:06,2019-02-04 18:26:08,2.000s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectNumeric""), findTestObject(""Form_Selection_Creation/questionGroupArea""))",Chrome 71.0.3578.98,,2019-02-04 18:26:08,2019-02-04 18:26:09,0.872s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesignt_NumericName""), ""This is Numeric Field"")",Chrome 71.0.3578.98,,2019-02-04 18:26:09,2019-02-04 18:26:09,0.586s,PASSED
