Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Questionaire_Form,Chrome 71.0.3578.98,,2019-01-08 17:13:28,2019-01-08 17:16:33,3m - 4.379s,PASSED
,,,,,,
Test Cases/Forms/QuestionaitreForm/2_FormSubmission,Chrome 71.0.3578.98,,2019-01-08 17:13:29,2019-01-08 17:15:55,2m - 26.708s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-08 17:13:29,2019-01-08 17:13:33,3.725s,PASSED
navigateToUrl(URL),Chrome 71.0.3578.98,,2019-01-08 17:13:33,2019-01-08 17:14:07,33.393s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-08 17:14:07,2019-01-08 17:14:08,1.187s,PASSED
driver = getWebDriver(),Chrome 71.0.3578.98,,2019-01-08 17:14:08,2019-01-08 17:14:08,0.017s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.98,,2019-01-08 17:14:08,2019-01-08 17:14:11,3.006s,PASSED
"setText(findTestObject(""FormTab/login_Username""), UserName)",Chrome 71.0.3578.98,,2019-01-08 17:14:11,2019-01-08 17:14:16,5.730s,PASSED
"setText(findTestObject(""FormTab/login_Password""), Password)",Chrome 71.0.3578.98,,2019-01-08 17:14:16,2019-01-08 17:14:17,0.147s,PASSED
"click(findTestObject(""FormTab/login_Button""))",Chrome 71.0.3578.98,,2019-01-08 17:14:17,2019-01-08 17:14:19,1.931s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-08 17:14:19,2019-01-08 17:14:19,0.002s,NOT_RUN
"click(findTestObject(""Form_Selection_Creation/home""))",Chrome 71.0.3578.98,,2019-01-08 17:14:19,2019-01-08 17:14:19,0.002s,NOT_RUN
Thread.sleep(10000),Chrome 71.0.3578.98,,2019-01-08 17:14:19,2019-01-08 17:14:29,10.001s,PASSED
"click(findTestObject(""FormTab/form_Tab""))",Chrome 71.0.3578.98,,2019-01-08 17:14:29,2019-01-08 17:14:29,0.166s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-08 17:14:29,2019-01-08 17:14:29,0.001s,NOT_RUN
"click(findTestObject(""FormTab/clickToViewMoreOption""))",Chrome 71.0.3578.98,,2019-01-08 17:14:29,2019-01-08 17:14:29,0.001s,NOT_RUN
"waitForElementNotVisible(findTestObject(""FormTab/select500_Form""), 5)",Chrome 71.0.3578.98,,2019-01-08 17:14:29,2019-01-08 17:14:29,0.003s,NOT_RUN
"click(findTestObject(""FormTab/select500_Form""))",Chrome 71.0.3578.98,,2019-01-08 17:14:29,2019-01-08 17:14:29,0.002s,NOT_RUN
