Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Resource,Chrome 70.0.3538.102,,2018-11-28 18:35:07,2018-11-28 18:39:15,4m - 7.969s,PASSED
,,,,,,
Test Cases/CheckResoucesAsPerLocation/checkLocation,Chrome 70.0.3538.102,,2018-11-28 18:35:07,2018-11-28 18:36:28,1m - 20.834s,PASSED
openBrowser(URL),Chrome 70.0.3538.102,,2018-11-28 18:35:08,2018-11-28 18:35:27,19.684s,PASSED
maximizeWindow(),Chrome 70.0.3538.102,,2018-11-28 18:35:27,2018-11-28 18:35:28,1.155s,PASSED
"setText(findTestObject(""TestUserLocation/login_Username""), UserName)",Chrome 70.0.3538.102,,2018-11-28 18:35:28,2018-11-28 18:35:33,4.708s,PASSED
"setText(findTestObject(""TestUserLocation/login_Password""), Password)",Chrome 70.0.3538.102,,2018-11-28 18:35:33,2018-11-28 18:35:33,0.163s,PASSED
AdminTool_Location.setLocationName(),Chrome 70.0.3538.102,,2018-11-28 18:35:33,2018-11-28 18:35:35,1.210s,PASSED
"click(findTestObject(""TestUserLocation/login_Button""))",Chrome 70.0.3538.102,,2018-11-28 18:35:35,2018-11-28 18:35:37,2.171s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.102,,2018-11-28 18:35:37,2018-11-28 18:35:41,4.004s,PASSED
AdminTool_Location.setLocationNameInLocation(),Chrome 70.0.3538.102,,2018-11-28 18:35:41,2018-11-28 18:35:41,0.076s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 70.0.3538.102,,2018-11-28 18:35:41,2018-11-28 18:35:44,3.242s,PASSED
"click(findTestObject(""TestUserLocation/adminTool""))",Chrome 70.0.3538.102,,2018-11-28 18:35:44,2018-11-28 18:35:44,0.121s,PASSED
"click(findTestObject(""TestUserLocation/mainMenuResourceDesigner""))",Chrome 70.0.3538.102,,2018-11-28 18:35:44,2018-11-28 18:35:45,0.345s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.102,,2018-11-28 18:35:45,2018-11-28 18:35:49,4.002s,PASSED
"click(findTestObject(""TestUserLocation/locations""))",Chrome 70.0.3538.102,,2018-11-28 18:35:49,2018-11-28 18:35:51,2.756s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.102,,2018-11-28 18:35:51,2018-11-28 18:35:55,4.001s,PASSED
