Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeSuite,Chrome 69.0.3497.100,,2018-10-30 15:21:14,2018-10-30 15:33:33,12m - 18.891s,FAILED
,,,,,,
Test Cases/AdminTools/InternalUser,Chrome 69.0.3497.100,,2018-10-30 15:21:15,2018-10-30 15:22:27,1m - 12.347s,PASSED
sc.sc_customkeywords.UniqueName,Chrome 69.0.3497.100,,2018-10-30 15:21:15,2018-10-30 15:21:16,1.178s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-30 15:21:16,2018-10-30 15:21:20,3.702s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-30 15:21:20,2018-10-30 15:21:21,1.164s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-30 15:21:21,2018-10-30 15:21:41,19.424s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-30 15:21:41,2018-10-30 15:21:46,5.009s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:21:46,2018-10-30 15:21:46,0.287s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:21:46,2018-10-30 15:21:46,0.143s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:21:46,2018-10-30 15:21:52,5.670s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:21:52,2018-10-30 15:21:58,6.027s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:21:58,2018-10-30 15:21:58,0.107s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:21:58,2018-10-30 15:21:58,0.199s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:21:58,2018-10-30 15:22:03,4.870s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:22:03,2018-10-30 15:22:06,2.887s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:22:06,2018-10-30 15:22:06,0.206s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:22:06,2018-10-30 15:22:06,0.348s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:22:06,2018-10-30 15:22:07,0.266s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-30 15:22:07,2018-10-30 15:22:07,0.265s,PASSED
click,Chrome 69.0.3497.100,,2018-10-30 15:22:07,2018-10-30 15:22:07,0.281s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 69.0.3497.100,,2018-10-30 15:22:07,2018-10-30 15:22:12,5.002s,PASSED
