Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suppliers_Resource,Chrome 70.0.3538.110,,2018-11-30 12:47:38,2018-11-30 12:50:36,2m - 57.822s,FAILED
,,,,,,
Test Cases/CheckResoucesAsPerLocation/checkResource_Supplier,Chrome 70.0.3538.110,,2018-11-30 12:47:38,2018-11-30 12:50:30,2m - 51.850s,FAILED
openBrowser(URL),Chrome 70.0.3538.110,,2018-11-30 12:47:39,2018-11-30 12:48:02,22.874s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-11-30 12:48:02,2018-11-30 12:48:03,1.183s,PASSED
"setText(findTestObject(""TestUserLocation/login_Username""), UserName)",Chrome 70.0.3538.110,,2018-11-30 12:48:03,2018-11-30 12:48:06,2.478s,PASSED
"setText(findTestObject(""TestUserLocation/login_Password""), Password)",Chrome 70.0.3538.110,,2018-11-30 12:48:06,2018-11-30 12:48:06,0.144s,PASSED
AdminTool_Location.setSupplierName(),Chrome 70.0.3538.110,,2018-11-30 12:48:06,2018-11-30 12:48:07,1.117s,PASSED
"click(findTestObject(""TestUserLocation/login_Button""))",Chrome 70.0.3538.110,,2018-11-30 12:48:07,2018-11-30 12:48:08,1.592s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-11-30 12:48:08,2018-11-30 12:48:12,4.009s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 70.0.3538.110,,2018-11-30 12:48:12,2018-11-30 12:48:13,0.621s,PASSED
"click(findTestObject(""TestUserLocation/adminTool""))",Chrome 70.0.3538.110,,2018-11-30 12:48:13,2018-11-30 12:48:13,0.088s,PASSED
"click(findTestObject(""TestUserLocation/mainMenuResourceDesigner""))",Chrome 70.0.3538.110,,2018-11-30 12:48:13,2018-11-30 12:48:13,0.260s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-11-30 12:48:13,2018-11-30 12:48:17,4.002s,PASSED
"click(findTestObject(""TestResource/SuppliersDesign""))",Chrome 70.0.3538.110,,2018-11-30 12:48:17,2018-11-30 12:48:17,0.095s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-11-30 12:48:17,2018-11-30 12:48:21,4.005s,PASSED
"click(findTestObject(""TestUserLocation/categories""))",Chrome 70.0.3538.110,,2018-11-30 12:48:21,2018-11-30 12:48:22,0.190s,PASSED
Thread.sleep(2000),Chrome 70.0.3538.110,,2018-11-30 12:48:22,2018-11-30 12:48:24,2.003s,PASSED
"click(findTestObject(""TestUserLocation/defaultArea""))",Chrome 70.0.3538.110,,2018-11-30 12:48:24,2018-11-30 12:48:24,0.105s,PASSED
Thread.sleep(2000),Chrome 70.0.3538.110,,2018-11-30 12:48:24,2018-11-30 12:48:26,2.001s,PASSED
"click(findTestObject(""TestUserLocation/hoverHeading""))",Chrome 70.0.3538.110,,2018-11-30 12:48:26,2018-11-30 12:48:26,0.099s,PASSED
"click(findTestObject(""TestUserLocation/addPlusIcon""))",Chrome 70.0.3538.110,,2018-11-30 12:48:26,2018-11-30 12:48:26,0.117s,PASSED
"setText(findTestObject(""TestUserLocation/setNewName""), findTestData(""LocationData"").getValue(""SuppliersName"", 1))",Chrome 70.0.3538.110,,2018-11-30 12:48:26,2018-11-30 12:48:26,0.382s,PASSED
Thread.sleep(2000),Chrome 70.0.3538.110,,2018-11-30 12:48:26,2018-11-30 12:48:28,2.001s,PASSED
"click(findTestObject(""TestUserLocation/saveButton""))",Chrome 70.0.3538.110,,2018-11-30 12:48:28,2018-11-30 12:48:28,0.101s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-11-30 12:48:28,2018-11-30 12:48:32,4.001s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-11-30 12:48:32,2018-11-30 12:48:36,4.000s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 70.0.3538.110,,2018-11-30 12:48:36,2018-11-30 12:48:37,0.111s,PASSED
"click(findTestObject(""TestResource/mainMenu_resources""))",Chrome 70.0.3538.110,,2018-11-30 12:48:37,2018-11-30 12:48:37,0.152s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-11-30 12:48:37,2018-11-30 12:48:41,4.001s,PASSED
"click(findTestObject(""TestResource/suppliers""))",Chrome 70.0.3538.110,,2018-11-30 12:48:41,2018-11-30 12:48:41,0.092s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-11-30 12:48:41,2018-11-30 12:48:45,4.001s,PASSED
AdminTool_Location.selectSupplier(),Chrome 70.0.3538.110,,2018-11-30 12:48:45,2018-11-30 12:48:49,4.255s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-11-30 12:48:49,2018-11-30 12:48:53,4.001s,PASSED
"click(findTestObject(""TestUserLocation/addPlusIcon""))",Chrome 70.0.3538.110,,2018-11-30 12:48:53,2018-11-30 12:48:53,0.171s,PASSED
Thread.sleep(2000),Chrome 70.0.3538.110,,2018-11-30 12:48:53,2018-11-30 12:48:55,2.001s,PASSED
"setText(findTestObject(""TestUserLocation/setNewName""), findTestData(""LocationData"").getValue(""SubSuppliersName1"", 1))",Chrome 70.0.3538.110,,2018-11-30 12:48:55,2018-11-30 12:48:56,0.399s,PASSED
"setText(findTestObject(""TestResource/setPhoneNumber""), ""912378456"")",Chrome 70.0.3538.110,,2018-11-30 12:48:56,2018-11-30 12:48:56,0.003s,NOT_RUN
Thread.sleep(2000),Chrome 70.0.3538.110,,2018-11-30 12:48:56,2018-11-30 12:48:58,2.001s,PASSED
"click(findTestObject(""TestResource/saveDetailButton""))",Chrome 70.0.3538.110,,2018-11-30 12:48:58,2018-11-30 12:48:58,0.112s,PASSED
Thread.sleep(7000),Chrome 70.0.3538.110,,2018-11-30 12:48:58,2018-11-30 12:49:05,7.002s,PASSED
"click(findTestObject(""TestResource/disableResource""))",Chrome 70.0.3538.110,,2018-11-30 12:49:05,2018-11-30 12:49:05,0.143s,PASSED
Thread.sleep(2000),Chrome 70.0.3538.110,,2018-11-30 12:49:05,2018-11-30 12:49:07,2.001s,PASSED
"click(findTestObject(""TestResource/button2Yes""))",Chrome 70.0.3538.110,,2018-11-30 12:49:07,2018-11-30 12:49:07,0.108s,PASSED
Thread.sleep(2000),Chrome 70.0.3538.110,,2018-11-30 12:49:07,2018-11-30 12:49:09,2.000s,PASSED
"click(findTestObject(""TestResource/saveDetailButton""))",Chrome 70.0.3538.110,,2018-11-30 12:49:09,2018-11-30 12:49:09,0.076s,PASSED
Thread.sleep(7000),Chrome 70.0.3538.110,,2018-11-30 12:49:09,2018-11-30 12:49:16,7.002s,PASSED
"click(findTestObject(""TestResource/linksTab""))",Chrome 70.0.3538.110,,2018-11-30 12:49:16,2018-11-30 12:49:16,0.108s,PASSED
Thread.sleep(2000),Chrome 70.0.3538.110,,2018-11-30 12:49:16,2018-11-30 12:49:18,2.001s,PASSED
"click(findTestObject(""TestResource/addLink""))",Chrome 70.0.3538.110,,2018-11-30 12:49:18,2018-11-30 12:49:18,0.168s,PASSED
Thread.sleep(5000),Chrome 70.0.3538.110,,2018-11-30 12:49:18,2018-11-30 12:49:23,5.002s,PASSED
"check(findTestObject(""TestResource/selectSecondResourceToLink""))",Chrome 70.0.3538.110,,2018-11-30 12:49:23,2018-11-30 12:49:24,0.168s,PASSED
AdminTool_Location.resourceLinkName(),Chrome 70.0.3538.110,,2018-11-30 12:49:24,2018-11-30 12:49:24,0.113s,PASSED
Thread.sleep(2000),Chrome 70.0.3538.110,,2018-11-30 12:49:24,2018-11-30 12:49:26,2.001s,PASSED
"click(findTestObject(""TestResource/button2Save""))",Chrome 70.0.3538.110,,2018-11-30 12:49:26,2018-11-30 12:49:26,0.120s,PASSED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-11-30 12:49:26,2018-11-30 12:49:30,4.000s,PASSED
"click(findTestObject(""TestResource/locationTab""))",Chrome 70.0.3538.110,,2018-11-30 12:49:30,2018-11-30 12:49:30,0.102s,PASSED
Thread.sleep(5000),Chrome 70.0.3538.110,,2018-11-30 12:49:30,2018-11-30 12:49:35,5.002s,PASSED
AdminTool_Location.checkLocation(),Chrome 70.0.3538.110,,2018-11-30 12:49:35,2018-11-30 12:49:35,0.038s,FAILED
Thread.sleep(4000),Chrome 70.0.3538.110,,2018-11-30 12:49:35,2018-11-30 12:49:39,4.000s,PASSED
