Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestResources,Chrome 72.0.3626.119,,2019-03-06 17:25:15,2019-03-06 17:42:06,16m - 51.009s,PASSED
,,,,,,
Test Cases/CheckResoucesAsPerLocation/1_CreateLocation,Chrome 72.0.3626.119,,2019-03-06 17:25:16,2019-03-06 17:27:18,2m - 2.182s,PASSED
openBrowser(URL),Chrome 72.0.3626.119,,2019-03-06 17:25:16,2019-03-06 17:25:47,31.008s,PASSED
maximizeWindow(),Chrome 72.0.3626.119,,2019-03-06 17:25:47,2019-03-06 17:25:49,1.206s,PASSED
"setText(findTestObject(""TestUserLocation/login_Username""), UserName)",Chrome 72.0.3626.119,,2019-03-06 17:25:49,2019-03-06 17:25:52,3.585s,PASSED
"setText(findTestObject(""TestUserLocation/login_Password""), Password)",Chrome 72.0.3626.119,,2019-03-06 17:25:52,2019-03-06 17:25:52,0.158s,PASSED
AdminTool_Location.setLocationName(),Chrome 72.0.3626.119,,2019-03-06 17:25:52,2019-03-06 17:25:58,5.238s,PASSED
"click(findTestObject(""TestUserLocation/login_Button""))",Chrome 72.0.3626.119,,2019-03-06 17:25:58,2019-03-06 17:25:59,1.832s,PASSED
"waitForElementClickable(findTestObject(""TestUserLocation/mainmenu_button""), 30)",Chrome 72.0.3626.119,,2019-03-06 17:25:59,2019-03-06 17:26:12,12.900s,PASSED
Thread.sleep(2000),Chrome 72.0.3626.119,,2019-03-06 17:26:12,2019-03-06 17:26:14,2.001s,PASSED
AdminTool_Location.setLocationNameInLocation(),Chrome 72.0.3626.119,,2019-03-06 17:26:14,2019-03-06 17:26:18,4.113s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 72.0.3626.119,,2019-03-06 17:26:18,2019-03-06 17:26:18,0.086s,PASSED
Thread.sleep(2000),Chrome 72.0.3626.119,,2019-03-06 17:26:18,2019-03-06 17:26:20,2.000s,PASSED
"click(findTestObject(""TestUserLocation/adminTool""))",Chrome 72.0.3626.119,,2019-03-06 17:26:20,2019-03-06 17:26:21,0.273s,PASSED
Thread.sleep(2000),Chrome 72.0.3626.119,,2019-03-06 17:26:21,2019-03-06 17:26:23,2.001s,PASSED
"click(findTestObject(""TestUserLocation/mainMenuResourceDesigner""))",Chrome 72.0.3626.119,,2019-03-06 17:26:23,2019-03-06 17:26:23,0.226s,PASSED
