Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSupplier,Chrome 71.0.3578.98,,2019-01-03 11:59:23,2019-01-03 12:09:32,10m - 9.485s,PASSED
,,,,,,
Test Cases/SupplierFlow/1_CreateForm,Chrome 71.0.3578.98,,2019-01-03 11:59:23,2019-01-03 12:01:31,2m - 7.956s,PASSED
openBrowser(URL),Chrome 71.0.3578.98,,2019-01-03 11:59:24,2019-01-03 11:59:55,31.346s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-03 11:59:55,2019-01-03 11:59:56,1.239s,PASSED
"setText(findTestObject(""Form_Selection_Creation/login_Username""), UserName)",Chrome 71.0.3578.98,,2019-01-03 11:59:56,2019-01-03 12:00:00,3.572s,PASSED
"setText(findTestObject(""Form_Selection_Creation/login_Password""), Password)",Chrome 71.0.3578.98,,2019-01-03 12:00:00,2019-01-03 12:00:00,0.180s,PASSED
FormName.setData(),Chrome 71.0.3578.98,,2019-01-03 12:00:00,2019-01-03 12:00:02,1.271s,PASSED
"click(findTestObject(""Form_Selection_Creation/login_Button""))",Chrome 71.0.3578.98,,2019-01-03 12:00:02,2019-01-03 12:00:03,1.685s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.98,,2019-01-03 12:00:03,2019-01-03 12:00:06,3.007s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_Button""))",Chrome 71.0.3578.98,,2019-01-03 12:00:06,2019-01-03 12:00:10,3.753s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_AdminTools""))",Chrome 71.0.3578.98,,2019-01-03 12:00:10,2019-01-03 12:00:10,0.112s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_AdminTools_FormDesigner""))",Chrome 71.0.3578.98,,2019-01-03 12:00:10,2019-01-03 12:00:10,0.253s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:00:10,2019-01-03 12:00:12,2.002s,PASSED
"click(findTestObject(""Form_Selection_Creation/selectQuestionaireForm""))",Chrome 71.0.3578.98,,2019-01-03 12:00:12,2019-01-03 12:00:12,0.151s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.98,,2019-01-03 12:00:12,2019-01-03 12:00:15,3.004s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_selectResource""), findTestObject(""Form_Selection_Creation/Target_Res_Object""))",Chrome 71.0.3578.98,,2019-01-03 12:00:15,2019-01-03 12:00:16,0.770s,PASSED
Thread.sleep(6000),Chrome 71.0.3578.98,,2019-01-03 12:00:16,2019-01-03 12:00:22,6.002s,PASSED
"click(findTestObject(""Form_Selection_Creation/formCreation_NextToDesignForm""))",Chrome 71.0.3578.98,,2019-01-03 12:00:22,2019-01-03 12:00:23,0.239s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-03 12:00:23,2019-01-03 12:00:27,4.002s,PASSED
"FormName.createForm(findTestObject(""Form_Selection_Creation/formDesign_FormName""))",Chrome 71.0.3578.98,,2019-01-03 12:00:27,2019-01-03 12:00:27,0.426s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:00:27,2019-01-03 12:00:29,2.000s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectSection""), findTestObject(""Form_Selection_Creation/default_area""))",Chrome 71.0.3578.98,,2019-01-03 12:00:29,2019-01-03 12:00:30,0.818s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_SectionName_text""), ""This is Section "")",Chrome 71.0.3578.98,,2019-01-03 12:00:30,2019-01-03 12:00:30,0.314s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:00:30,2019-01-03 12:00:32,2.001s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectFieldgroup""), findTestObject(""Form_Selection_Creation/section_area""))",Chrome 71.0.3578.98,,2019-01-03 12:00:32,2019-01-03 12:00:33,0.765s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_FieldGroupName_text""), ""This is Field Group "")",Chrome 71.0.3578.98,,2019-01-03 12:00:33,2019-01-03 12:00:33,0.316s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:00:33,2019-01-03 12:00:35,2.001s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectFree Text""), findTestObject(""Form_Selection_Creation/group_area""))",Chrome 71.0.3578.98,,2019-01-03 12:00:35,2019-01-03 12:00:36,0.760s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_SingleLineName_Text""), ""This is Single Line Text"")",Chrome 71.0.3578.98,,2019-01-03 12:00:36,2019-01-03 12:00:36,0.524s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:00:36,2019-01-03 12:00:38,2.000s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectParagraphText""), findTestObject(""Form_Selection_Creation/group_area""))",Chrome 71.0.3578.98,,2019-01-03 12:00:38,2019-01-03 12:00:39,0.815s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_ParagraphName_Text""), ""This is Paragraph"")",Chrome 71.0.3578.98,,2019-01-03 12:00:39,2019-01-03 12:00:40,0.350s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:00:40,2019-01-03 12:00:42,2.001s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_Select_SelectOne""), findTestObject(""Form_Selection_Creation/group_area""))",Chrome 71.0.3578.98,,2019-01-03 12:00:42,2019-01-03 12:00:42,0.783s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_Select_OneName_text""), ""This is Select One"")",Chrome 71.0.3578.98,,2019-01-03 12:00:42,2019-01-03 12:00:43,0.510s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.98,,2019-01-03 12:00:43,2019-01-03 12:00:46,3.002s,PASSED
"click(findTestObject(""Form_Selection_Creation/button_AddNew1""))",Chrome 71.0.3578.98,,2019-01-03 12:00:46,2019-01-03 12:00:46,0.119s,PASSED
"setText(findTestObject(""Form_Selection_Creation/add1singleValue1""), ""SingleOption1"")",Chrome 71.0.3578.98,,2019-01-03 12:00:46,2019-01-03 12:00:46,0.288s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:00:46,2019-01-03 12:00:48,2.000s,PASSED
"click(findTestObject(""Form_Selection_Creation/button_AddNew1""))",Chrome 71.0.3578.98,,2019-01-03 12:00:48,2019-01-03 12:00:48,0.089s,PASSED
"setText(findTestObject(""Form_Selection_Creation/add1singleValue2""), ""SingleOption2"")",Chrome 71.0.3578.98,,2019-01-03 12:00:48,2019-01-03 12:00:49,0.247s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:00:49,2019-01-03 12:00:51,2.001s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_Select_SelectMultiple""), findTestObject(""Form_Selection_Creation/group_area""))",Chrome 71.0.3578.98,,2019-01-03 12:00:51,2019-01-03 12:00:51,0.836s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_Select_MultipleName_text""), ""This is Select Multiple"")",Chrome 71.0.3578.98,,2019-01-03 12:00:51,2019-01-03 12:00:52,0.570s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.98,,2019-01-03 12:00:52,2019-01-03 12:00:55,3.001s,PASSED
"click(findTestObject(""Form_Selection_Creation/button_addNewMul1""))",Chrome 71.0.3578.98,,2019-01-03 12:00:55,2019-01-03 12:00:55,0.112s,PASSED
"setText(findTestObject(""Form_Selection_Creation/add1MultipleValue1""), ""MultipleOption1"")",Chrome 71.0.3578.98,,2019-01-03 12:00:55,2019-01-03 12:00:55,0.301s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:00:55,2019-01-03 12:00:57,2.001s,PASSED
"click(findTestObject(""Form_Selection_Creation/button_addNewMul1""))",Chrome 71.0.3578.98,,2019-01-03 12:00:57,2019-01-03 12:00:58,0.078s,PASSED
"setText(findTestObject(""Form_Selection_Creation/add1MultipleValue2""), ""MultipleOption2"")",Chrome 71.0.3578.98,,2019-01-03 12:00:58,2019-01-03 12:00:58,0.255s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:00:58,2019-01-03 12:01:00,2.000s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectNumeric""), findTestObject(""Form_Selection_Creation/group_area""))",Chrome 71.0.3578.98,,2019-01-03 12:01:00,2019-01-03 12:01:01,0.791s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_NumericName_Text""), ""This is a Number"")",Chrome 71.0.3578.98,,2019-01-03 12:01:01,2019-01-03 12:01:01,0.442s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:01:01,2019-01-03 12:01:03,2.000s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectDate""), findTestObject(""Form_Selection_Creation/group_area""))",Chrome 71.0.3578.98,,2019-01-03 12:01:03,2019-01-03 12:01:04,0.858s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_DateName_Text""), ""This is a Date"")",Chrome 71.0.3578.98,,2019-01-03 12:01:04,2019-01-03 12:01:04,0.388s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:01:04,2019-01-03 12:01:06,2.000s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectTime""), findTestObject(""Form_Selection_Creation/group_area""))",Chrome 71.0.3578.98,,2019-01-03 12:01:06,2019-01-03 12:01:07,0.793s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_TimeName_text""), ""This is a Time"")",Chrome 71.0.3578.98,,2019-01-03 12:01:07,2019-01-03 12:01:07,0.400s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:01:07,2019-01-03 12:01:09,2.000s,PASSED
"dragAndDropToObject(findTestObject(""Form_Selection_Creation/formDesign_SelectDateTime""), findTestObject(""Form_Selection_Creation/group_area""))",Chrome 71.0.3578.98,,2019-01-03 12:01:09,2019-01-03 12:01:10,0.829s,PASSED
"setText(findTestObject(""Form_Selection_Creation/formDesign_DateTimeName_Text""), ""This is a Date-Time"")",Chrome 71.0.3578.98,,2019-01-03 12:01:10,2019-01-03 12:01:11,0.549s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:01:11,2019-01-03 12:01:13,2.000s,PASSED
"click(findTestObject(""Form_Selection_Creation/formCreation_NextToDesignForm""))",Chrome 71.0.3578.98,,2019-01-03 12:01:13,2019-01-03 12:01:13,0.106s,PASSED
Thread.sleep(7000),Chrome 71.0.3578.98,,2019-01-03 12:01:13,2019-01-03 12:01:20,7.002s,PASSED
"click(findTestObject(""Form_Selection_Creation/div_Preview             Form1""))",Chrome 71.0.3578.98,,2019-01-03 12:01:20,2019-01-03 12:01:20,0.107s,PASSED
Thread.sleep(5000),Chrome 71.0.3578.98,,2019-01-03 12:01:20,2019-01-03 12:01:25,5.002s,PASSED
"click(findTestObject(""Form_Selection_Creation/button_Release""))",Chrome 71.0.3578.98,,2019-01-03 12:01:25,2019-01-03 12:01:25,0.107s,PASSED
Thread.sleep(6000),Chrome 71.0.3578.98,,2019-01-03 12:01:25,2019-01-03 12:01:31,6.001s,PASSED
,,,,,,
Test Cases/SupplierFlow/2_CreateLocation,Chrome 71.0.3578.98,,2019-01-03 12:01:31,2019-01-03 12:02:23,52.002s,PASSED
openBrowser(URL),Chrome 71.0.3578.98,,2019-01-03 12:01:31,2019-01-03 12:01:31,0.002s,NOT_RUN
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-03 12:01:31,2019-01-03 12:01:31,0.001s,NOT_RUN
"setText(findTestObject(""TestUserLocation/login_Username""), UserName)",Chrome 71.0.3578.98,,2019-01-03 12:01:31,2019-01-03 12:01:31,0.002s,NOT_RUN
"setText(findTestObject(""TestUserLocation/login_Password""), Password11)",Chrome 71.0.3578.98,,2019-01-03 12:01:31,2019-01-03 12:01:31,0.008s,NOT_RUN
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:01:31,2019-01-03 12:01:33,2.001s,PASSED
AdminTool_Location.setLocationName(),Chrome 71.0.3578.98,,2019-01-03 12:01:33,2019-01-03 12:01:34,0.091s,PASSED
"click(findTestObject(""TestUserLocation/login_Button""))",Chrome 71.0.3578.98,,2019-01-03 12:01:34,2019-01-03 12:01:34,0.001s,NOT_RUN
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:01:34,2019-01-03 12:01:36,2.001s,PASSED
AdminTool_Location.setLocationNameInLocation(),Chrome 71.0.3578.98,,2019-01-03 12:01:36,2019-01-03 12:01:36,0.077s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 71.0.3578.98,,2019-01-03 12:01:36,2019-01-03 12:01:36,0.146s,PASSED
"click(findTestObject(""TestUserLocation/adminTool""))",Chrome 71.0.3578.98,,2019-01-03 12:01:36,2019-01-03 12:01:36,0.001s,NOT_RUN
"click(findTestObject(""TestUserLocation/mainMenuResourceDesigner""))",Chrome 71.0.3578.98,,2019-01-03 12:01:36,2019-01-03 12:01:36,0.209s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-03 12:01:36,2019-01-03 12:01:40,4.001s,PASSED
"click(findTestObject(""TestUserLocation/locations""))",Chrome 71.0.3578.98,,2019-01-03 12:01:40,2019-01-03 12:01:40,0.159s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-03 12:01:40,2019-01-03 12:01:44,4.002s,PASSED
refresh(),Chrome 71.0.3578.98,,2019-01-03 12:01:44,2019-01-03 12:01:44,0.002s,NOT_RUN
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-03 12:01:44,2019-01-03 12:01:44,0.001s,NOT_RUN
"click(findTestObject(""TestUserLocation/categories""))",Chrome 71.0.3578.98,,2019-01-03 12:01:44,2019-01-03 12:01:44,0.189s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:01:44,2019-01-03 12:01:46,2.001s,PASSED
"click(findTestObject(""TestUserLocation/defaultArea""))",Chrome 71.0.3578.98,,2019-01-03 12:01:46,2019-01-03 12:01:46,0.121s,PASSED
"click(findTestObject(""TestUserLocation/hoverHeading""))",Chrome 71.0.3578.98,,2019-01-03 12:01:46,2019-01-03 12:01:47,0.110s,PASSED
"click(findTestObject(""TestUserLocation/addPlusIcon""))",Chrome 71.0.3578.98,,2019-01-03 12:01:47,2019-01-03 12:01:47,0.126s,PASSED
"setText(findTestObject(""TestUserLocation/setNewName""), findTestData(""LocationData"").getValue(""LocationName"", 1))",Chrome 71.0.3578.98,,2019-01-03 12:01:47,2019-01-03 12:01:47,0.606s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:01:47,2019-01-03 12:01:49,2.000s,PASSED
"click(findTestObject(""TestUserLocation/saveButton""))",Chrome 71.0.3578.98,,2019-01-03 12:01:49,2019-01-03 12:01:49,0.124s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-03 12:01:49,2019-01-03 12:01:53,4.001s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 71.0.3578.98,,2019-01-03 12:01:53,2019-01-03 12:01:54,0.088s,PASSED
"click(findTestObject(""TestUserLocation/mainMenuLocation""))",Chrome 71.0.3578.98,,2019-01-03 12:01:54,2019-01-03 12:01:54,0.167s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-03 12:01:54,2019-01-03 12:01:58,4.001s,PASSED
AdminTool_Location.selectLocation(),Chrome 71.0.3578.98,,2019-01-03 12:01:58,2019-01-03 12:02:02,4.286s,PASSED
"click(findTestObject(""TestUserLocation/addPlusIcon""))",Chrome 71.0.3578.98,,2019-01-03 12:02:02,2019-01-03 12:02:02,0.162s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:02:02,2019-01-03 12:02:04,2.001s,PASSED
"setText(findTestObject(""TestUserLocation/setNewName""), findTestData(""LocationData"").getValue(""SubLocationName"", 1))",Chrome 71.0.3578.98,,2019-01-03 12:02:04,2019-01-03 12:02:05,0.448s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:02:05,2019-01-03 12:02:07,2.001s,PASSED
"click(findTestObject(""TestUserLocation/saveLocationDetailButton""))",Chrome 71.0.3578.98,,2019-01-03 12:02:07,2019-01-03 12:02:07,0.122s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-03 12:02:07,2019-01-03 12:02:11,4.000s,PASSED
"click(findTestObject(""TestUserLocation/customerSelect""))",Chrome 71.0.3578.98,,2019-01-03 12:02:11,2019-01-03 12:02:11,0.198s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-03 12:02:11,2019-01-03 12:02:15,4.004s,PASSED
"check(findTestObject(""TestUserLocation/select4ResouceInCustomer""))",Chrome 71.0.3578.98,,2019-01-03 12:02:15,2019-01-03 12:02:15,0.129s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:02:15,2019-01-03 12:02:17,2.000s,PASSED
"click(findTestObject(""TestUserLocation/saveLocationDetailButton""))",Chrome 71.0.3578.98,,2019-01-03 12:02:17,2019-01-03 12:02:17,0.140s,PASSED
Thread.sleep(6000),Chrome 71.0.3578.98,,2019-01-03 12:02:17,2019-01-03 12:02:23,6.001s,PASSED
,,,,,,
Test Cases/SupplierFlow/3_CreateResource_Supplier,Chrome 71.0.3578.98,,2019-01-03 12:02:23,2019-01-03 12:04:10,1m - 46.694s,PASSED
openBrowser(URL),Chrome 71.0.3578.98,,2019-01-03 12:02:23,2019-01-03 12:02:23,0.003s,NOT_RUN
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-03 12:02:23,2019-01-03 12:02:23,0.001s,NOT_RUN
"setText(findTestObject(""TestUserLocation/login_Username""), UserName)",Chrome 71.0.3578.98,,2019-01-03 12:02:23,2019-01-03 12:02:23,0.002s,NOT_RUN
"setText(findTestObject(""TestUserLocation/login_Password""), Password11)",Chrome 71.0.3578.98,,2019-01-03 12:02:23,2019-01-03 12:02:23,0.002s,NOT_RUN
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:02:23,2019-01-03 12:02:25,2.002s,PASSED
AdminTool_Location.setSupplierName(),Chrome 71.0.3578.98,,2019-01-03 12:02:25,2019-01-03 12:02:26,0.076s,PASSED
"click(findTestObject(""TestUserLocation/login_Button""))",Chrome 71.0.3578.98,,2019-01-03 12:02:26,2019-01-03 12:02:26,0.001s,NOT_RUN
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:02:26,2019-01-03 12:02:28,2.000s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 71.0.3578.98,,2019-01-03 12:02:28,2019-01-03 12:02:28,0.098s,PASSED
"click(findTestObject(""TestUserLocation/adminTool""))",Chrome 71.0.3578.98,,2019-01-03 12:02:28,2019-01-03 12:02:28,0.000s,NOT_RUN
"click(findTestObject(""TestUserLocation/mainMenuResourceDesigner""))",Chrome 71.0.3578.98,,2019-01-03 12:02:28,2019-01-03 12:02:28,0.242s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-03 12:02:28,2019-01-03 12:02:32,4.001s,PASSED
"click(findTestObject(""TestResource/SuppliersDesign""))",Chrome 71.0.3578.98,,2019-01-03 12:02:32,2019-01-03 12:02:32,0.095s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-03 12:02:32,2019-01-03 12:02:36,4.001s,PASSED
"click(findTestObject(""TestUserLocation/categories""))",Chrome 71.0.3578.98,,2019-01-03 12:02:36,2019-01-03 12:02:36,0.146s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:02:36,2019-01-03 12:02:38,2.007s,PASSED
"click(findTestObject(""TestUserLocation/defaultArea""))",Chrome 71.0.3578.98,,2019-01-03 12:02:38,2019-01-03 12:02:38,0.101s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:02:38,2019-01-03 12:02:40,2.002s,PASSED
"click(findTestObject(""TestUserLocation/hoverHeading""))",Chrome 71.0.3578.98,,2019-01-03 12:02:40,2019-01-03 12:02:40,0.101s,PASSED
"click(findTestObject(""TestUserLocation/addPlusIcon""))",Chrome 71.0.3578.98,,2019-01-03 12:02:40,2019-01-03 12:02:40,0.124s,PASSED
"setText(findTestObject(""TestUserLocation/setNewName""), findTestData(""LocationData"").getValue(""SuppliersName"", 1))",Chrome 71.0.3578.98,,2019-01-03 12:02:40,2019-01-03 12:02:41,0.434s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:02:41,2019-01-03 12:02:43,2.000s,PASSED
"click(findTestObject(""TestUserLocation/saveButton""))",Chrome 71.0.3578.98,,2019-01-03 12:02:43,2019-01-03 12:02:43,0.116s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-03 12:02:43,2019-01-03 12:02:47,4.001s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-03 12:02:47,2019-01-03 12:02:51,4.001s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 71.0.3578.98,,2019-01-03 12:02:51,2019-01-03 12:02:51,0.065s,PASSED
"click(findTestObject(""TestResource/mainMenu_resources""))",Chrome 71.0.3578.98,,2019-01-03 12:02:51,2019-01-03 12:02:51,0.170s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-03 12:02:51,2019-01-03 12:02:55,4.002s,PASSED
"click(findTestObject(""TestResource/suppliers""))",Chrome 71.0.3578.98,,2019-01-03 12:02:55,2019-01-03 12:02:55,0.091s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-03 12:02:55,2019-01-03 12:02:59,4.000s,PASSED
AdminTool_Location.selectSupplier(),Chrome 71.0.3578.98,,2019-01-03 12:02:59,2019-01-03 12:03:04,4.313s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-03 12:03:04,2019-01-03 12:03:08,4.001s,PASSED
"click(findTestObject(""TestUserLocation/addPlusIcon""))",Chrome 71.0.3578.98,,2019-01-03 12:03:08,2019-01-03 12:03:08,0.001s,NOT_RUN
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-03 12:03:08,2019-01-03 12:03:08,0.002s,NOT_RUN
"setText(findTestObject(""TestUserLocation/setNewName""), findTestData(""LocationData"").getValue(""SubSuppliersName1"", 1))",Chrome 71.0.3578.98,,2019-01-03 12:03:08,2019-01-03 12:03:08,0.001s,NOT_RUN
