Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UserCheck,Chrome 71.0.3578.98,,2019-01-10 17:26:53,2019-01-10 17:32:34,5m - 40.264s,PASSED
,,,,,,
Test Cases/TestUser/createUser,Chrome 71.0.3578.98,,2019-01-10 17:26:54,2019-01-10 17:28:39,1m - 45.260s,PASSED
openBrowser(URL),Chrome 71.0.3578.98,,2019-01-10 17:26:55,2019-01-10 17:27:36,40.929s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-10 17:27:36,2019-01-10 17:27:37,1.158s,PASSED
"waitForElementVisible(findTestObject(""TestUserLocation/login_Username""), 70)",Chrome 71.0.3578.98,,2019-01-10 17:27:37,2019-01-10 17:27:44,6.401s,PASSED
"setText(findTestObject(""TestUserLocation/login_Username""), UserName)",Chrome 71.0.3578.98,,2019-01-10 17:27:44,2019-01-10 17:27:44,0.195s,PASSED
"setText(findTestObject(""TestUserLocation/login_Password""), Password)",Chrome 71.0.3578.98,,2019-01-10 17:27:44,2019-01-10 17:27:44,0.165s,PASSED
User.setNamePass(),Chrome 71.0.3578.98,,2019-01-10 17:27:44,2019-01-10 17:27:45,1.206s,PASSED
"click(findTestObject(""TestUserLocation/login_Button""))",Chrome 71.0.3578.98,,2019-01-10 17:27:45,2019-01-10 17:27:48,2.409s,PASSED
Thread.sleep(6000),Chrome 71.0.3578.98,,2019-01-10 17:27:48,2019-01-10 17:27:54,6.009s,PASSED
"waitForElementClickable(findTestObject(""TestUserLocation/mainmenu_button""), 70)",Chrome 71.0.3578.98,,2019-01-10 17:27:54,2019-01-10 17:27:54,0.115s,PASSED
"click(findTestObject(""TestUserLocation/mainmenu_button""))",Chrome 71.0.3578.98,,2019-01-10 17:27:54,2019-01-10 17:27:54,0.075s,PASSED
"click(findTestObject(""Form_Selection_Creation/mainMenu_AdminTools""))",Chrome 71.0.3578.98,,2019-01-10 17:27:54,2019-01-10 17:27:54,0.100s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-10 17:27:54,2019-01-10 17:27:56,2.000s,PASSED
"click(findTestObject(""TestUser/users""))",Chrome 71.0.3578.98,,2019-01-10 17:27:56,2019-01-10 17:27:56,0.245s,PASSED
Thread.sleep(6000),Chrome 71.0.3578.98,,2019-01-10 17:27:56,2019-01-10 17:28:02,6.003s,PASSED
"click(findTestObject(""TestUser/addNewUser""))",Chrome 71.0.3578.98,,2019-01-10 17:28:02,2019-01-10 17:28:02,0.126s,PASSED
Thread.sleep(4000),Chrome 71.0.3578.98,,2019-01-10 17:28:02,2019-01-10 17:28:06,4.007s,PASSED
"setText(findTestObject(""TestUser/userName""), findTestData(""UserData"").getValue(""UserName"", 1))",Chrome 71.0.3578.98,,2019-01-10 17:28:06,2019-01-10 17:28:07,0.361s,PASSED
"setText(findTestObject(""TestUser/password""), findTestData(""UserData"").getValue(""Password"", 1))",Chrome 71.0.3578.98,,2019-01-10 17:28:07,2019-01-10 17:28:07,0.302s,PASSED
"setText(findTestObject(""TestUser/firstName""), ""Test"")",Chrome 71.0.3578.98,,2019-01-10 17:28:07,2019-01-10 17:28:07,0.179s,PASSED
